port_type,port_name,count
origin,Bridgwater,11
origin,Kristinestad,11
origin,St. John-deals,11
origin,Alloa,11
origin,"Hudikswall-deals, &c.",11
origin,Quebec-deals and ends,10
origin,Caraquet,10
origin,"Bridgewater, N.S.",10
origin,Bilbao,10
origin,Villa Garcia,10
origin,"Ship Harbour, N.S.",10
origin,Halifax and Philadelphia,10
origin,Stavanger,10
origin,Sackville,10
origin,Vivero,10
origin,W. Indies,10
origin,Soderhamn-firewood,10
origin,Brevig-props,10
origin,Brunne,10
origin,Berggvara,10
origin,Hornefors,10
origin,Kaunissaari,10
origin,Christianopel,10
origin,Harg,10
origin,Hudikswall-deals,10
origin,Dal,10
origin,Drammen-staves,10
origin,Kotka-firewood,10
origin,(s),10
origin,Sandefiord,10
origin,Nykarleby,9
origin,Liscombe,9
origin,Trois Pistoles,9
origin,G'burg-deals,9
origin,Bridgewater,9
origin,Essviken,9
origin,Brisbane,9
origin,Pabos,9
origin,Havana,9
origin,Ystad,9
origin,"Portland, M.",9
origin,Java,9
origin,"Sheet Harbour, N.S.",9
origin,"St. Johns, N.B.",9
origin,River Ouelle,9
origin,Quebec & Montreal,9
origin,Meschers,9
origin,Marie,9
origin,St. Lucia,9
origin,Gambleby,9
origin,"Charleston, S.C.",9
origin,Darien-pitch pine,9
origin,Pentecost,9
origin,Holmstadt,9
origin,Port Blakeley,9
origin,Concarneau,9
origin,Ornskjoldvik,9
origin,"Guysborough, N.S.",9
origin,St Petersburg,9
origin,St. Simons,9
origin,Porsgrund-battens,9
origin,Cork,9
origin,Alexandria,9
origin,Aarhuus,9
origin,Orkedalsoren,9
origin,Price & Pierce,9
origin,Oscarshamn-props,9
origin,Makslaks,9
origin,Sunderland,9
origin,Twedestrand,9
origin,Youghal,9
origin,"Memel-deals, &c.",9
origin,Stenkjor,9
origin,Frederickstadt,9
origin,"Bay Verte, N.S.",9
origin,Fredriksham,9
origin,Essvik,8
origin,Dago,8
origin,Truxillo,8
origin,"G'burg-deals, &c.",8
origin,"Three Rivers-deals, &c.",8
origin,Norrvik,8
origin,Kragerö,8
origin,"Yarmouth, N.S.",8
origin,Sevastopol,8
origin,"Sackville, N.B.",8
origin,Svano,8
origin,Kasko,8
origin,—,8
origin,Halifax and Baltimore,8
origin,Kotka-deals,8
origin,Uleaborg-deals,8
origin,"Danzig-timber, sleepers",8
origin,Calmar-pit props,8
origin,"Tornea-deals, &c.",8
origin,F'stad-boards,8
origin,Arendal-min. tim.,8
origin,"Wyburg-deals, &c.",8
origin,Trieste and Fiume,8
origin,Prince Edward Island,8
origin,"St. Margaret's Bay, N.S.",8
origin,Valparaiso,8
origin,Corinto,8
origin,Tonala,8
origin,Tlacotalpam,8
origin,Astoria,8
origin,Karlscrona,8
origin,"Liscombe, N.S.",8
origin,Karlshamn,8
origin,"Riga-sleepers, &c.",8
origin,Rusoer,8
origin,Betsiamitz,8
origin,Elsinore,8
origin,Louvain,8
origin,Panama,8
origin,Monte Christi,8
origin,"Economy, N.S.",8
origin,"Ljusne-deals, &c.",8
origin,Ulfvik,8
origin,Alfredshem,8
origin,Stolpemunde,8
origin,New Ross,8
origin,Ursviken,8
origin,Brazil,8
origin,Moss-props,8
origin,Calicut,8
origin,Xtiania,8
origin,Ullanger,7
origin,Brake,7
origin,New Brunswick,7
origin,Bremerhaven,7
origin,Laurvik,7
origin,Harlingen,7
origin,Santa Cruz,7
origin,Wartsala,7
origin,Tillingenabben,7
origin,Rodestrand,7
origin,Drag,7
origin,Lagos,7
origin,Lyngoer,7
origin,Parrsboro,7
origin,Kopmansholmen,7
origin,Nouvelle,7
origin,Sprangsviken,7
origin,Fredriksværn,7
origin,"Halifax, N.B.",7
origin,Sherbrooke,7
origin,Aland,7
origin,Magdalen River,7
origin,Sundswall-battens,7
origin,"Cronstadt-lathwood, &c.",7
origin,Lysekil,7
origin,Gamla Carleby,7
origin,Bjorko,7
origin,Sandifjord,7
origin,Le Tremblade,7
origin,Archangel-deals and ends,7
origin,"Danzig-timber, &c.",7
origin,F'shald-staves,7
origin,Xiania-boards,7
origin,Furnogrund,7
origin,Berbice,7
origin,West Coast Africa,7
origin,"Sandarne-deals, &c.",7
origin,Porsgrund-min. tim.,7
origin,"Skelleftea-deals, &c.",7
origin,Soderhamn-boards,7
origin,Oscarsham,7
origin,Mo,7
origin,Demarara,7
origin,Liban,7
origin,Campbeltown,7
origin,Corcubion,7
origin,Wifstavarf,7
origin,Campbelltown,7
origin,Hopewell Cape,7
origin,Bruges,7
origin,"Riga-lathwood, deals",7
origin,Puerto Plata,7
origin,Trondhjeim,7
origin,Gothenburg-deals,7
origin,West Point,7
origin,"Boston, U.S.A.",7
origin,Oregrund,7
origin,Trehiguer,7
origin,Krageros,7
origin,Santa Eugenia,7
origin,Vancouver,7
