form,dest,n,share_of_form,lift
spars,Tyne Ports,82,0.039,0.62
deal ends,Hull,165,0.054,0.61
wood,Cardiff,84,0.019,0.61
deals,Kirkcaldy,111,0.003,0.6
staves,Hull,702,0.053,0.6
deal ends,Tyne Ports,114,0.037,0.6
deals,Cardiff,682,0.018,0.59
deals,Chester,51,0.001,0.59
lathwood,Cardiff,75,0.018,0.59
pit props,Grimsby,311,0.015,0.59
poles,London,185,0.087,0.57
pitwood,Bristol,94,0.011,0.56
staves,Alloa,108,0.008,0.55
firewood,Hartlepool (West),274,0.032,0.55
ends,Hartlepool (West),212,0.032,0.55
firewood,Bristol,92,0.011,0.54
boards,Dundee,94,0.006,0.54
laths,Tyne Ports,98,0.033,0.53
pitwood,Sunderland,103,0.012,0.53
mouldings,Hull,71,0.046,0.51
staves,Belfast,84,0.006,0.5
deals,Middlesbrough,138,0.004,0.49
boards,Cardiff,243,0.015,0.49
sleepers,Liverpool,370,0.065,0.49
rickers,Liverpool,69,0.065,0.49
timber,Sunderland,73,0.011,0.48
timber,Leith,86,0.013,0.48
blocks,Hull,50,0.04,0.45
battens,Gloucester,78,0.004,0.44
spars,Hull,82,0.039,0.43
ends,Sunderland,66,0.01,0.43
spars,Hartlepool (West),52,0.025,0.42
battens,Belfast,105,0.005,0.41
boards,Glasgow,220,0.014,0.41
lathwood,Liverpool,224,0.055,0.41
firewood,Sunderland,78,0.009,0.4
deals,Newport,266,0.007,0.39
boards,Swansea,88,0.006,0.39
pit props,Grangemouth,241,0.012,0.39
logs,Hartlepool (West),64,0.023,0.39
battens,Borrowstounness,133,0.007,0.38
battens,Cardiff,238,0.012,0.38
battens,Liverpool,1012,0.05,0.38
deals,Swansea,193,0.005,0.37
firewood,Grangemouth,96,0.011,0.37
staves,Hartlepool (West),271,0.021,0.36
ends,Tyne Ports,151,0.023,0.36
lathwood,Tyne Ports,89,0.022,0.35
sleepers,Leith,53,0.009,0.34
firewood,Tyne Ports,171,0.02,0.32
boards,Newport,95,0.006,0.32
staves,Grimsby,108,0.008,0.31
boards,Greenock,59,0.004,0.31
lumber,Hull,90,0.028,0.31
logs,Tyne Ports,51,0.018,0.29
scantlings,Hull,54,0.026,0.29
deals,Alloa,151,0.004,0.28
lumber,Tyne Ports,56,0.017,0.28
battens,Newport,100,0.005,0.27
hoops,London,121,0.04,0.27
boards,Leith,113,0.007,0.26
pit props,Belfast,67,0.003,0.26
