origin,destination,year,shipments
Christiania,Hull,1895,40
Christiania,Hull,1899,40
Christiania,London,1881,40
Cronstadt,Hull,1885,40
Falkenberg,Borrowstounness,1881,40
Gothenburg,Hartlepool (West),1881,40
Gothenburg,Hartlepool (West),1895,40
Gothenburg,London,1895,40
Halmstad,Alloa,1895,40
Hennebont,Newport,1893,40
Hennebont,Newport,1897,40
Laurvig,Tyne Ports,1887,40
Quebec City,Glasgow,1875,40
Riga,Dundee,1889,40
Rotterdam,Grimsby,1897,40
St. John,Liverpool,1877,40
Bordeaux,Swansea,1895,39
Boston,Glasgow,1887,39
Christiania,London,1889,39
Cronstadt,Leith,1889,39
Danzig,Grimsby,1889,39
Danzig,Hartlepool (West),1883,39
Drammen,London,1874,39
Drammen,London,1883,39
Gefle,Grimsby,1879,39
Gefle,Hartlepool (West),1877,39
Gothenburg,Sunderland,1891,39
Gothenburg,Tyne Ports,1881,39
Laurvig,Newcastle upon Tyne,1877,39
New York,Hull,1895,39
Philadelphia,Liverpool,1885,39
Quebec City,Greenock,1875,39
Quebec City,Greenock,1877,39
Redon,Cardiff,1883,39
Riga,Hull,1893,39
St. Petersburg,Hull,1897,39
Sundswall,London,1891,39
Cronstadt,Grangemouth,1895,38
Danzig,London,1895,38
Gothenburg,Sunderland,1897,38
Hamburg,London,1899,38
Hamburg,Tyne Ports,1893,38
Hennebont,Newport,1899,38
New Orleans,Liverpool,1881,38
Quebec City,WIGTOWN,1881,38
Riga,Hartlepool (West),1897,38
Riga,London,1875,38
Skien,Hartlepool (West),1889,38
Baltimore,Liverpool,1897,37
Baltimore,London,1887,37
Christiansand,Borrowstounness,1883,37
Danzig,Grimsby,1899,37
Fredrikstad,London,1881,37
Gothenburg,Granton,1899,37
Gothenburg,London,1874,37
Hennebont,Newport,1879,37
Klaipeda,London,1885,37
Laurvig,Tyne Ports,1889,37
New York,Bristol,1891,37
Philadelphia,Liverpool,1883,37
Philadelphia,Liverpool,1891,37
Quebec City,Liverpool,1887,37
Riga,Grimsby,1883,37
Riga,Hartlepool (West),1887,37
Riga,Leith,1899,37
Rotterdam,Belfast,1885,37
Rotterdam,Tyne Ports,1889,37
Bordeaux,Newport,1879,36
Christiania,Alloa,1885,36
Christiania,Borrowstounness,1881,36
Christiania,Borrowstounness,1883,36
Christiania,Tyne Ports,1889,36
Danzig,Grimsby,1887,36
Drammen,Borrowstounness,1885,36
Drammen,Grangemouth,1877,36
Halmstad,Alloa,1897,36
Hamburg,London,1897,36
Laurvig,Tyne Ports,1883,36
Montreal,Glasgow,1891,36
Montreal,Glasgow,1895,36
Philadelphia,London,1899,36
Redon,Swansea,1885,36
Riga,Grimsby,1895,36
Rotterdam,Belfast,1887,36
Cronstadt,Grangemouth,1887,35
Danzig,Sunderland,1887,35
Fredrikstad,London,1897,35
Gothenburg,Liverpool,1881,35
Gothenburg,London,1897,35
Klaipeda,Hartlepool (West),1874,35
Klaipeda,London,1889,35
Liepāja,Hull,1895,35
Montreal,Glasgow,1889,35
Quebec City,Greenock,1889,35
Riga,Dundee,1897,35
Riga,Grangemouth,1895,35
Riga,Leith,1883,35
Rotterdam,Leith,1893,35
St. John,Liverpool,1874,35
Christiania,London,1885,34
Danzig,Grimsby,1885,34
Danzig,Sunderland,1889,34
Dordrecht,Tyne Ports,1881,34
Falkenberg,Alloa,1889,34
Gothenburg,Hull,1875,34
Halmstad,Alloa,1885,34
Hernosand,Hartlepool (West),1897,34
Montreal,London,1883,34
New York,London,1895,34
Norfolk,Liverpool,1891,34
St. John,Liverpool,1887,34
Stettin,Hull,1885,34
Stettin,Sunderland,1889,34
Sundswall,London,1879,34
Bordeaux,Swansea,1899,33
Boston,London,1897,33
Christiania,Hull,1897,33
Christiania,Sunderland,1889,33
Drammen,London,1879,33
Falkenberg,Borrowstounness,1885,33
Gefle,London,1874,33
Klaipeda,Grimsby,1883,33
Konigsberg,Hull,1887,33
Montreal,Glasgow,1887,33
Norfolk,Liverpool,1883,33
Pensacola,Liverpool,1883,33
Philadelphia,Liverpool,1889,33
Quebec City,Liverpool,1893,33
Riga,Grimsby,1885,33
Rotterdam,Belfast,1883,33
Soderhamn,Hartlepool (West),1875,33
Stettin,Hartlepool (West),1889,33
Stettin,Sunderland,1883,33
Sundswall,London,1885,33
Wyborg,Grimsby,1877,33
A Coruña,Cardiff,1883,32
Baltimore,Glasgow,1889,32
Christiania,Alloa,1883,32
Cronstadt,Grangemouth,1893,32
Cronstadt,London,1889,32
Gefle,Hull,1881,32
Gothenburg,Hull,1879,32
Hennebont,Newport,1887,32
Lorient,Newport,1899,32
Pauillac,Cardiff,1899,32
Philadelphia,Liverpool,1899,32
Quebec City,London,1889,32
Riga,Borrowstounness,1887,32
Riga,Grangemouth,1879,32
Riga,Granton,1877,32
Riga,Grimsby,1879,32
Riga,Leith,1885,32
Riga,London,1893,32
Rotterdam,Grimsby,1885,32
Sundswall,Grangemouth,1891,32
Sundswall,Tyne Ports,1883,32
Vilagarcía de Arousa,Cardiff,1887,32
A Coruña,Cardiff,1885,31
Christiania,Alloa,1881,31
Christiania,Grangemouth,1899,31
Christiania,London,1891,31
Christiania,Tyne Ports,1893,31
Christiansand,Borrowstounness,1887,31
Cronstadt,Grangemouth,1885,31
Drammen,Grangemouth,1875,31
Fredrikstad,Liverpool,1889,31
Gothenburg,Granton,1891,31
Gothenburg,Sunderland,1881,31
Hamburg,Hartlepool (West),1897,31
Klaipeda,Tyne Ports,1883,31
Norfolk,Liverpool,1885,31
Quebec City,Greenock,1885,31
Riga,Grimsby,1893,31
Riga,Hull,1891,31
Rotterdam,Belfast,1891,31
Soderhamn,London,1883,31
Stettin,Hartlepool (West),1887,31
Stettin,Hull,1887,31
Ventspils,Borrowstounness,1891,31
Baltimore,London,1889,30
Bordeaux,Swansea,1879,30
Christiania,Grangemouth,1897,30
Christiania,London,1899,30
Christiania,Tyne Ports,1885,30
Cronstadt,Leith,1877,30
Cronstadt,Liverpool,1885,30
Cronstadt,Yarmouth,1879,30
Danzig,Grimsby,1895,30
Danzig,Hull,1895,30
Falkenberg,Alloa,1891,30
Fredrikstad,London,1885,30
Gefle,Hartlepool (West),1874,30
Gothenburg,Hartlepool (West),1893,30
Gothenburg,Liverpool,1887,30
Gothenburg,Liverpool,1891,30
Gothenburg,London,1893,30
Hamburg,Tyne Ports,1883,30
Hamburg,Tyne Ports,1895,30
Jamaica,London,1874,30
