origin,commodity_form,year,shipments
Gothenburg,ends,1899,13
Gothenburg,joinery,1893,13
Gothenburg,laths,1892,13
Gothenburg,laths,1898,13
Gothenburg,posts,1885,13
Gothenburg,posts,1893,13
Gothenburg,sleepers,1892,13
Gothenburg,sleepers,1900,13
Gothenburg,spars,1889,13
Gothenburg,trellis,1897,13
Gothenburg,wood pulp,1875,13
Gothenburg,wood pulp,1899,13
Grimstad,pit props,1883,13
Halifax,ends,1883,13
Halmstad,pitwood,1887,13
Hango,bobbins,1895,13
Helsingfors,battens,1887,13
Helsingfors,boards,1895,13
Helsingfors,deals,1875,13
Helsingfors,squares,1897,13
Hennebont,pit props,1877,13
Hernosand,battens,1874,13
Hernosand,deals,1877,13
Hernosand,pit props,1889,13
Holmestrand,pit props,1885,13
Holmsund,deals,1889,13
Hudikswall,pit props,1899,13
Husum,deals,1885,13
Karlskrona,pit props,1887,13
Kemi,boards,1897,13
Kemi,deals,1891,13
Klaipeda,blocks,1895,13
Klaipeda,ends,1889,13
Klaipeda,logs,1875,13
Kotka,battens,1879,13
Kotka,firewood,1879,13
Kragero,battens,1881,13
Kragero,mining timber,1891,13
Kragero,timber,1899,13
La Rochelle,pit props,1881,13
La Rochelle,pitwood,1881,13
Langesund,pit props,1881,13
Langror,deals,1885,13
Laurvig,sleepers,1885,13
Liepāja,deals,1895,13
Liepāja,sleepers,1891,13
Liepāja,sleepers,1893,13
Liepāja,spokes,1895,13
Ljusne,battens,1881,13
Ljusne,deals,1877,13
Ljusne,firewood,1889,13
Lulea,boards,1885,13
Lulea,deals,1874,13
Lulea,deals,1889,13
Lulea,firewood,1885,13
Miramichi,boards,1885,13
Miramichi,boards,1887,13
Mobile,timber,1887,13
Montreal,boards,1881,13
Montreal,staves,1889,13
Moss,pit props,1889,13
Mönsterås,pit props,1883,13
Mönsterås,pit props,1891,13
Nantes,pitwood,1881,13
Nantes,pitwood,1891,13
Nederkalix,boards,1895,13
Nederkalix,deals,1881,13
Nederkalix,firewood,1899,13
New Orleans,lumber,1889,13
New Orleans,lumber,1895,13
New York,timber,1887,13
Newport News,logs,1893,13
Newport News,planks,1895,13
Newport News,planks,1897,13
Norfolk,logs,1899,13
Norfolk,staves,1891,13
Nyhamn,battens,1881,13
Nyhamn,battens,1883,13
Nyhamn,battens,1891,13
Nyhamn,deals,1874,13
Nyhamn,deals,1895,13
Ornskjoldsvik,deals,1883,13
Pascagoula,deals,1899,13
Pensacola,lumber,1899,13
Philadelphia,lumber,1889,13
Philadelphia,lumber,1895,13
Pitea,battens,1883,13
Pitea,battens,1889,13
Pitea,battens,1897,13
Porsgrund,battens,1891,13
Porsgrund,firewood,1887,13
Porsgrund,firewood,1889,13
Porsgrund,staves,1883,13
Quebec City,boards,1887,13
Quebec City,lathwood,1885,13
Quebec City,staves,1891,13
Quimper,pitwood,1883,13
Rafso,battens,1887,13
Rangoon,blocks,1893,13
Richibouctou,ends,1881,13
Riga,battens,1896,13
Riga,blocks,1885,13
Riga,boards,1875,13
Riga,deal ends,1891,13
Riga,deals,1900,13
Riga,poles,1889,13
Riga,spars,1887,13
Riga,spars,1889,13
Riga,timber,1875,13
Risoer,firewood,1899,13
Rotterdam,staves,1889,13
Sandefjord,pit props,1877,13
Savannah,staves,1889,13
Shediac,deals,1897,13
Shediac,ends,1877,13
Shediac,ends,1893,13
Sheet Harbour,deals,1885,13
Skelleftea,battens,1897,13
Skelleftea,boards,1889,13
Skelleftea,deals,1891,13
Skien,battens,1897,13
Skien,battens,1899,13
Skien,deals,1899,13
Skien,firewood,1891,13
Skien,poles,1881,13
Skien,poles,1887,13
Skutskar,deals,1879,13
Skutskar,firewood,1887,13
Skutskar,firewood,1895,13
Soderhamn,firewood,1891,13
Soroka,deals,1883,13
St. John,palings,1881,13
St. John,timber,1897,13
St. Petersburg,battens,1887,13
Stettin,wood,1887,13
Stockholm,pit props,1889,13
Sundswall,timber,1883,13
Svartvik,boards,1885,13
Svartvik,deals,1883,13
Timrå,boards,1883,13
Tornea,battens,1881,13
Tornea,deals,1883,13
Tornea,deals,1885,13
Trieste,logs,1887,13
Trois-Rivières,deals,1875,13
Trois-Rivières,deals,1881,13
Trois-Rivières,deals,1883,13
Trondheim,boards,1889,13
Trondheim,deals,1874,13
Tvedestrand,firewood,1899,13
Tvedestrand,pit props,1897,13
Uddevalla,doors,1893,13
Uddevalla,doors,1895,13
Uddevalla,pit props,1885,13
Uleaborg,boards,1881,13
Uleaborg,boards,1895,13
Vaasa,battens,1899,13
Vannes,pitwood,1881,13
Ventspils,battens,1891,13
Ventspils,sleepers,1887,13
Västervik (Westerwik),boards,1899,13
Västervik (Westerwik),deals,1897,13
Västervik (Westerwik),pit props,1895,13
West Bay,deals,1895,13
West Bay,deals,1899,13
Wyborg,boards,1887,13
Wyborg,boards,1889,13
A Coruña,pitwood,1881,12
A Coruña,pitwood,1885,12
Abo,battens,1897,12
Abo,deals,1891,12
Amsterdam,wood,1889,12
Archangel,boards,1874,12
Arendal,firewood,1889,12
Arendal,mining timber,1893,12
Arendal,timber,1874,12
Arendal,timber,1875,12
Arendal,timber,1891,12
Auray,pitwood,1891,12
Baltimore,squares,1891,12
Bathurst,deals,1879,12
Bathurst,deals,1891,12
Bayonne,pitwood,1896,12
Bayonne,pitwood,1898,12
Bjorneborg,battens,1897,12
Bjorneborg,boards,1889,12
Bjorneborg,boards,1899,12
Bjorneborg,deals,1897,12
Bjorneborg,firewood,1885,12
Bollsta,battens,1881,12
Boston,boards,1897,12
Boston,lumber,1883,12
Boston,lumber,1898,12
Boston,lumber,1900,12
Brevig,oars,1883,12
Brevig,spars,1885,12
Buctouche,deals,1889,12
Chatham,deals,1877,12
Chatham,deals,1889,12
Chatham,ends,1883,12
Christiania,boxboards,1891,12
Christiania,deals,1881,12
Christiania,deals,1891,12
Christiania,firewood,1874,12
Christiania,laths,1887,12
Christiania,scantlings,1883,12
Christiania,sleepers,1881,12
Christiansand,mining timber,1877,12
Christiansand,pit props,1893,12
Christiansand,pitwood,1887,12
Dalhousie,deals,1879,12
Dalhousie,deals,1887,12
Danzig,blocks,1889,12
Danzig,deals,1895,12
Danzig,ends,1887,12
Danzig,scantlings,1885,12
Darłowo,pit props,1891,12
Drammen,deals,1881,12
Fredrikshald,pit props,1881,12
Fredrikstad,firewood,1893,12
Fredrikstad,pit props,1881,12
Fredrikstad,pit props,1897,12
Fredrikstad,scantlings,1897,12
Fredrikstad,spars,1893,12
Fredrikstad,staves,1897,12
Gefle,firewood,1874,12
Gefle,staves,1889,12
Gothenburg,boards,1884,12
Gothenburg,boards,1892,12
Gothenburg,boxboards,1885,12
Gothenburg,crowntrees,1885,12
Gothenburg,handles,1897,12
Gothenburg,mining timber,1881,12
Gothenburg,oars,1874,12
Gothenburg,pit props,1880,12
Gothenburg,rails,1891,12
Gothenburg,rickers,1885,12
Gothenburg,spars,1883,12
Gothenburg,spars,1887,12
Gothenburg,squares,1897,12
Gothenburg,timber,1874,12
Gothenburg,wood,1875,12
Hamburg,logs,1881,12
Hamburg,staves,1891,12
Hamburg,wood,1889,12
Harnas,deals,1897,12
Helsingfors,battens,1877,12
Hernosand,battens,1875,12
Holmestrand,battens,1881,12
Holmestrand,pit props,1877,12
Hommelvik,deals,1887,12
Hommelvik,staves,1891,12
Hommelvik,staves,1893,12
Hudikswall,deals,1875,12
Hudikswall,firewood,1885,12
Hudikswall,firewood,1887,12
Karlshamn,pit props,1889,12
Kemi,firewood,1899,12
Klaipeda,blocks,1885,12
Klaipeda,ends,1877,12
Konigsberg,timber,1887,12
Kotka,boards,1881,12
Kotka,staves,1897,12
Kragero,battens,1883,12
La Roche Bernard,pit props,1881,12
La Tremblede,pitwood,1899,12
Laguna,ends,1893,12
Langesund,pit props,1885,12
Langror,deals,1881,12
Langror,deals,1883,12
Laurvig,boards,1899,12
Laurvig,spars,1891,12
Laurvig,timber,1877,12
Liepāja,deals,1899,12
Liepāja,logs,1895,12
Ljusne,battens,1877,12
Ljusne,boards,1895,12
Ljusne,deals,1899,12
Ljusne,firewood,1885,12
Ljusne,firewood,1891,12
London,deals,1893,12
Lulea,boards,1897,12
Lulea,deals,1881,12
Lulea,firewood,1895,12
Mandal,pit props,1881,12
Mandal,staves,1891,12
Mem,battens,1885,12
Mem,deals,1874,12
Miramichi,battens,1881,12
Miramichi,battens,1895,12
Miramichi,battens,1899,12
Miramichi,boards,1883,12
Miramichi,deal ends,1899,12
Miramichi,palings,1885,12
Miramichi,scantlings,1885,12
Mobile,boards,1895,12
Montreal,ends,1891,12
Montreal,logs,1895,12
Montreal,lumber,1893,12
Montreal,wood,1897,12
Moss,pit props,1874,12
Moss,pit props,1875,12
Moss,pit props,1899,12
Moss,staves,1883,12
Moulmein,squares,1881,12
Muros,pitwood,1893,12
Musquash,deals,1883,12
Mönsterås,pit props,1881,12
Namsos,battens,1887,12
Narva,deals,1897,12
Nederkalix,battens,1887,12
Nederkalix,deals,1891,12
Nederkalix,firewood,1885,12
New Orleans,logs,1895,12
New Orleans,lumber,1893,12
New Orleans,squares,1899,12
New York,boards,1893,12
New York,deals,1887,12
New York,hoops,1891,12
New York,shooks,1895,12
New York,staves,1882,12
New York,timber,1877,12
New York,wood,1893,12
Nordmaling,deals,1883,12
Norfolk,logs,1895,12
Norfolk,lumber,1899,12
Norfolk,planks,1889,12
Norfolk,planks,1891,12
Nyhamn,deals,1893,12
Nyhamn,firewood,1889,12
Odessa,staves,1885,12
Ostend,pit props,1885,12
Ostend,wood,1899,12
Parrsboro,deal ends,1885,12
Parrsboro,deals,1889,12
Parrsboro,deals,1895,12
Parrsboro,scantlings,1887,12
Philadelphia,logs,1881,12
Philadelphia,lumber,1881,12
Pitea,deals,1877,12
Pont-l'Abbé,pitwood,1889,12
Porsgrund,staves,1887,12
Porsgrund,timber,1877,12
Porsgrund,timber,1897,12
Portland,deals,1889,12
Portland,deals,1900,12
Pugwash,deals,1881,12
Quebec City,spoolwood,1883,12
Quebec City,squares,1874,12
Rafso,deals,1885,12
Rafso,staves,1889,12
Richibouctou,ends,1874,12
Richibouctou,ends,1883,12
Richibouctou,ends,1887,12
Richibouctou,ends,1893,12
Riga,battens,1900,12
Riga,blocks,1891,12
Riga,boards,1874,12
Riga,deals,1898,12
Riga,laths,1897,12
Riga,lathwood,1892,12
Riga,logs,1885,12
Riga,rickers,1899,12
Riga,splits,1893,12
Rijeka,logs,1889,12
Rijeka,staves,1885,12
Risoer,battens,1899,12
Rochefort,pitwood,1889,12
Rotterdam,staves,1887,12
Rotterdam,staves,1899,12
Sandarne,deals,1881,12
Sandarne,deals,1887,12
Shediac,deals,1885,12
Shediac,deals,1887,12
Skelleftea,boards,1885,12
Skien,firewood,1885,12
Skien,poles,1891,12
Skonvik,battens,1885,12
Skonvik,deals,1879,12
Skutskar,battens,1877,12
Skutskar,battens,1885,12
Skutskar,boards,1887,12
Skutskar,firewood,1885,12
Soroka,deals,1879,12
St. John,deal ends,1877,12
St. John,palings,1885,12
St. Malo,pitwood,1883,12
St. Malo,pitwood,1889,12
St. Petersburg,laths,1887,12
Stettin,staves,1877,12
Stettin,timber,1875,12
Stockholm,boards,1897,12
Stockholm,boards,1899,12
Stockholm,joinery,1887,12
Stockholm,laths,1897,12
Stockholm,mouldings,1897,12
Sundswall,pit props,1883,12
Sundswall,pit props,1891,12
Sundswall,timber,1889,12
Svartvik,boards,1881,12
Svartvik,deals,1877,12
Sydney,timber,1895,12
Sydney,timber,1897,12
Sydney,timber,1899,12
Timrå,deals,1889,12
Tornea,deals,1881,12
Tornea,deals,1891,12
Tornea,deals,1895,12
Tornea,deals,1899,12
Trois-Rivières,deal ends,1874,12
Trondheim,firewood,1895,12
Trondheim,pit props,1883,12
Tvedestrand,pit props,1889,12
Tvedestrand,pit props,1895,12
Uddevalla,doors,1889,12
Uddevalla,doors,1897,12
Uddevalla,mouldings,1883,12
Uleaborg,boards,1883,12
Uleaborg,boards,1893,12
Uleaborg,deals,1877,12
Vannes,pit props,1885,12
Vannes,pit props,1889,12
Vannes,pitwood,1897,12
Vannes,pitwood,1899,12
Vlissingen,wood,1897,12
Västervik (Westerwik),battens,1891,12
Västervik (Westerwik),battens,1897,12
Västervik (Westerwik),pit props,1881,12
Västervik (Westerwik),pit props,1883,12
West Bay,deals,1893,12
Wyborg,firewood,1885,12
Abo,firewood,1885,11
Arcachon,pitwood,1887,11
Arendal,battens,1893,11
Arendal,firewood,1883,11
Arendal,firewood,1895,11
Arendal,pit props,1875,11
Arendal,timber,1881,11
Baie Verte,battens,1887,11
Baie Verte,deals,1883,11
Baltimore,deals,1893,11
Baltimore,logs,1900,11
Baltimore,scantlings,1897,11
Baltimore,wood,1897,11
Belize,logs,1891,11
Bergkvara,pit props,1887,11
Bjorneborg,battens,1875,11
Bordeaux,pitwood,1896,11
Bordeaux,staves,1887,11
Borga,battens,1895,11
Boston,planks,1897,11
Boston,poles,1895,11
Brevig,oars,1885,11
Brevig,poles,1881,11
Brevig,spars,1893,11
Carril,pitwood,1891,11
Charlottetown,deals,1885,11
Chatham,deals,1887,11
Chatham,ends,1881,11
Chicoutimi,deal ends,1883,11
Christiania,battens,1891,11
Christiania,pitwood,1887,11
Christiania,scantlings,1885,11
Christiansand,battens,1887,11
Christiansand,timber,1889,11
Cronstadt,laths,1885,11
Cronstadt,rickers,1891,11
Cronstadt,rickers,1893,11
Dalhousie,deals,1885,11
Dalhousie,deals,1889,11
Danzig,logs,1887,11
Danzig,logs,1891,11
Danzig,pit props,1891,11
Danzig,staves,1899,11
Darien,deals,1875,11
Darien,deals,1895,11
Darien,timber,1895,11
Demerara,timber,1877,11
Drammen,firewood,1893,11
Drammen,firewood,1897,11
Drammen,firewood,1899,11
Drammen,flooring,1895,11
Drammen,pit props,1879,11
Drammen,pitwood,1893,11
Drammen,spars,1891,11
Ferrol,pitwood,1889,11
Finnklippan,deals,1887,11
Fredrikstad,laths,1877,11
Fredrikstad,mouldings,1899,11
Fredrikstad,pit props,1891,11
Fredrikstad,poles,1895,11
Fredrikstad,scantlings,1899,11
Fredrikstad,spars,1881,11
Fredrikstad,spars,1887,11
Fredrikstad,staves,1875,11
Fredrikstad,wood,1895,11
Gothenburg,battens,1884,11
Gothenburg,blocks,1897,11
Gothenburg,boards,1898,11
Gothenburg,firewood,1874,11
Gothenburg,joinery,1889,11
Gothenburg,joinery,1899,11
Gothenburg,mining timber,1885,11
Gothenburg,sleepers,1875,11
Grimstad,pit props,1885,11
Grimstad,pit props,1897,11
Halden,battens,1897,11
Halden,deals,1899,11
Halden,firewood,1881,11
Halden,firewood,1895,11
Halifax,deal ends,1887,11
Halifax,deals,1879,11
Halifax,ends,1897,11
Halifax,palings,1881,11
Hallsta,deals,1885,11
Halmstad,battens,1877,11
Halmstad,deals,1891,11
Halmstad,pit props,1879,11
Harnas,battens,1897,11
Helsingfors,boards,1893,11
Helsingfors,bobbins,1895,11
Helsingfors,deals,1887,11
Helsingfors,deals,1897,11
Helsingfors,firewood,1895,11
Helsingfors,squares,1899,11
Hernosand,boards,1883,11
Hernosand,pit props,1891,11
Holmestrand,pit props,1895,11
Holmestrand,pit props,1897,11
Hommelvik,deals,1889,11
Hudikswall,battens,1874,11
Hudikswall,boards,1893,11
Iggesund,deals,1883,11
Iggesund,deals,1895,11
Karlskrona,battens,1889,11
Karlskrona,pit props,1885,11
Kem,deals,1895,11
Kemi,boards,1895,11
Kemi,deals,1877,11
Kemi,deals,1893,11
Klaipeda,battens,1875,11
Klaipeda,battens,1881,11
Klaipeda,blocks,1891,11
Klaipeda,squares,1881,11
Konigsberg,blocks,1883,11
Konigsberg,mining timber,1887,11
Konigsberg,timber,1899,11
Kotka,boards,1877,11
Kragero,firewood,1883,11
Kragero,mining timber,1883,11
Kramfors,battens,1883,11
La Rochelle,pitwood,1889,11
Laguna,ends,1891,11
Laguna,logs,1891,11
Laguna,logs,1893,11
Laurvig,firewood,1889,11
Laurvig,pitwood,1889,11
Laurvig,spars,1889,11
Laurvig,staves,1885,11
Laurvig,staves,1891,11
Liepāja,pit props,1883,11
Liepāja,pit props,1887,11
Liepāja,sleepers,1883,11
Ljusne,battens,1899,11
Lorient,pit props,1899,11
Lulea,battens,1891,11
Lulea,boards,1893,11
Mandal,staves,1887,11
Mandal,staves,1889,11
Matane,deals,1883,11
Matane,ends,1889,11
Minatitlan,ends,1874,11
Miramichi,ends,1875,11
Miramichi,scantlings,1877,11
Miramichi,scantlings,1883,11
Mobile,timber,1891,11
Montreal,logs,1897,11
Montreal,scantlings,1899,11
Morlaix,pitwood,1889,11
Muros,pitwood,1889,11
Musquash,deals,1881,11
Namsos,battens,1891,11
Namsos,battens,1895,11
Nederkalix,boards,1891,11
Nederkalix,boards,1893,11
Nederkalix,deals,1879,11
New Orleans,lumber,1900,11
New Orleans,staves,1886,11
New York,battens,1881,11
New York,logs,1897,11
New York,planks,1881,11
New York,scantlings,1897,11
New York,spars,1895,11
New York,squares,1887,11
New York,staves,1896,11
New York,timber,1897,11
Newport News,planks,1887,11
Norfolk,staves,1897,11
Norrkoping,deals,1895,11
Norrkoping,laths,1897,11
Nyhamn,battens,1889,11
Nyhamn,boards,1885,11
Odessa,logs,1885,11
Odessa,logs,1889,11
Odessa,staves,1881,11
Onega,battens,1899,11
Onega,boards,1887,11
Onega,deals,1883,11
Ornskjoldsvik,battens,1899,11
Ornskjoldsvik,deals,1885,11
Ostend,woodware,1899,11
Pascagoula,deals,1887,11
Pensacola,boards,1897,11
Philadelphia,boards,1899,11
Philadelphia,wood,1881,11
Pictou,deals,1893,11
Pitea,boards,1895,11
Pitea,deals,1889,11
Pitea,firewood,1897,11
Porsgrund,mining timber,1897,11
Porsgrund,spars,1885,11
Porsgrund,spars,1891,11
Portland,splints,1887,11
Pugwash,battens,1883,11
Pugwash,deals,1899,11
Quebec City,deal ends,1897,11
Quebec City,deals,1880,11
Quebec City,squares,1895,11
Quebec City,timber,1899,11
Rafso,staves,1897,11
Richibouctou,deals,1897,11
Riga,deals,1886,11
Riga,laths,1893,11
Riga,logs,1891,11
Riga,splits,1881,11
Riga,timber,1895,11
Riga,wood,1889,11
Saint-Brieuc,pit props,1881,11
Sandarne,deals,1895,11
Sandefjord,pit props,1897,11
Sapelo,deals,1897,11
Shediac,battens,1899,11
Shediac,deals,1874,11
Sheet Harbour,deals,1883,11
Skelleftea,deals,1893,11
Skelleftea,spars,1883,11
Skien,pit props,1879,11
Skien,poles,1895,11
Skonvik,battens,1875,11
Skonvik,deals,1881,11
Skonvik,deals,1889,11
Skonvik,firewood,1883,11
Skutskar,battens,1875,11
Skutskar,battens,1897,11
Skutskar,boards,1883,11
Skutskar,boards,1897,11
Soderhamn,battens,1879,11
Soroka,deals,1899,11
St. Nazaire,pitwood,1883,11
St. Petersburg,battens,1885,11
St. Petersburg,boards,1887,11
St. Petersburg,boards,1891,11
St. Petersburg,boards,1895,11
St. Petersburg,deals,1874,11
St. Petersburg,deals,1883,11
St. Petersburg,lathwood,1874,11
St. Petersburg,rickers,1883,11
St. Petersburg,wood,1889,11
Stettin,logs,1893,11
Stettin,sleepers,1883,11
Stockholm,battens,1874,11
Sundswall,spars,1893,11
Sundswall,timber,1893,11
Svartvik,boards,1889,11
Svartvik,boards,1899,11
Svartvik,deals,1889,11
Tonsberg,pit props,1877,11
Tornea,battens,1895,11
Tornea,deals,1889,11
Trieste,staves,1881,11
Trois-Rivières,deals,1879,11
Trondheim,deals,1899,11
Trondheim,staves,1885,11
Trondheim (Drontheim),battens,1899,11
Tvedestrand,pit props,1883,11
Uddevalla,doors,1887,11
Uddevalla,laths,1889,11
Uddevalla,mouldings,1887,11
Uleaborg,battens,1891,11
Uleaborg,deals,1887,11
Uleaborg,firewood,1889,11
Vaasa,deals,1897,11
Vaasa,deals,1899,11
Ventspils,deals,1893,11
Ventspils,pit props,1899,11
Ventspils,pitwood,1893,11
Västervik (Westerwik),deals,1889,11
West Bay,deals,1887,11
Wyborg,battens,1879,11
Åhus,pit props,1889,11
Abo,firewood,1887,10
Abo,pit props,1893,10
Archangel,ends,1875,10
Arendal,battens,1887,10
Arendal,battens,1891,10
Arendal,battens,1897,10
Arendal,deals,1883,10
Arendal,deals,1887,10
Arendal,mining timber,1895,10
Arendal,mining timber,1897,10
Arendal,pit props,1874,10
Baie Verte,battens,1889,10
Baie Verte,deal ends,1885,10
Baltimore,boards,1885,10
Baltimore,lumber,1892,10
Baltimore,planks,1881,10
Baltimore,squares,1893,10
Baltimore,staves,1890,10
Bathurst,deals,1893,10
Bathurst,deals,1895,10
Bathurst,palings,1883,10
Bayonne,pitwood,1881,10
Belize,ends,1893,10
Bergkvara,pit props,1885,10
Bjorneborg,boards,1897,10
Bjorneborg,staves,1895,10
Blaye,pitwood,1895,10
Blaye,pitwood,1899,10
Borga,deals,1883,10
Boston,blocks,1899,10
Boston,flooring,1899,10
Boston,wood,1895,10
Bremen,wood,1899,10
Brevig,pitwood,1897,10
Brevig,poles,1883,10
Chatham,deals,1874,10
Chatham,deals,1893,10
Christiania,boathooks,1889,10
Christiania,firewood,1875,10
Christiania,flooring,1889,10
Christiania,flooring,1897,10
Christiania,pitwood,1885,10
Christiania,poles,1874,10
Christiania,rickers,1874,10
Christiania,rickers,1887,10
Christiania,wood,1875,10
Christiania,wood pulp,1895,10
Christiansand,firewood,1887,10
Christiansand,firewood,1889,10
Christiansand,firewood,1891,10
Christiansand,pit props,1874,10
Christinestad,battens,1881,10
Colberg,pit props,1883,10
Cronstadt,batten ends,1883,10
Cronstadt,deal ends,1893,10
Cronstadt,lathwood,1893,10
Cronstadt,lathwood,1895,10
Dalhousie,ends,1883,10
Danzig,battens,1875,10
Danzig,blocks,1895,10
Danzig,blocks,1897,10
Danzig,blocks,1899,10
Danzig,ends,1893,10
Danzig,lathwood,1877,10
Danzig,logs,1881,10
Danzig,sleepers,1898,10
Darien,timber,1874,10
Darien,timber,1875,10
Drammen,battens,1895,10
Drammen,deals,1877,10
Drammen,deals,1895,10
Drammen,firewood,1874,10
Drammen,firewood,1887,10
Drammen,mining timber,1881,10
Drammen,staves,1895,10
Drammen,timber,1891,10
Figeholm,pit props,1895,10
Fredrikstad,deals,1874,10
Fredrikstad,pit props,1877,10
Fredrikstad,pit props,1887,10
Fredrikstad,pit props,1893,10
Fredrikstad,spars,1897,10
Gothenburg,crowntrees,1887,10
Gothenburg,flooring,1889,10
Gothenburg,flooring,1895,10
Gothenburg,handles,1891,10
Gothenburg,laths,1884,10
Gothenburg,laths,1890,10
Gothenburg,lathwood,1891,10
Gothenburg,oars,1893,10
Gothenburg,oars,1895,10
Gothenburg,oars,1897,10
Gothenburg,pit props,1896,10
Gothenburg,pitwood,1889,10
Gothenburg,pitwood,1893,10
Gothenburg,sleepers,1884,10
Gothenburg,squares,1887,10
Gothenburg,timber,1883,10
Gothenburg,wood pulp,1877,10
Grimstad,mining timber,1885,10
Grimstad,mining timber,1889,10
Grimstad,mining timber,1891,10
Halden,pitwood,1897,10
Halden,staves,1883,10
Halifax,battens,1885,10
Halifax,deal ends,1883,10
Halifax,doors,1893,10
Halifax,ends,1891,10
Halifax,ends,1895,10
Halifax,planks,1899,10
Halifax,timber,1889,10
Hallsta,battens,1895,10
Halmstad,battens,1883,10
Halmstad,deals,1877,10
Halmstad,deals,1879,10
Halmstad,pitwood,1897,10
Hamburg,wood,1899,10
Haparanda,deals,1895,10
Harnas,deals,1885,10
Helsingfors,boards,1897,10
Helsingfors,pit props,1874,10
Helsingfors,squares,1893,10
Helsingfors,staves,1895,10
Hennebont,pit props,1883,10
Hernosand,battens,1879,10
Hernosand,boards,1881,10
Hernosand,firewood,1881,10
Holmsund,deals,1881,10
Holmsund,deals,1885,10
Hudikswall,boards,1877,10
Hudikswall,deals,1897,10
Hudikswall,firewood,1897,10
Iggesund,deals,1887,10
Iggesund,deals,1889,10
Kalmar,deals,1897,10
Karlshamn,deals,1889,10
Kemi,boards,1889,10
Kemi,deals,1885,10
Kemi,deals,1887,10
Klaipeda,blocks,1899,10
Klaipeda,deals,1899,10
Klaipeda,sleepers,1890,10
Klaipeda,staves,1892,10
Konigsberg,blocks,1889,10
Konigsberg,pitwood,1895,10
Konigsberg,sleepers,1897,10
Kragero,squares,1889,10
Kragero,squares,1899,10
Kragero,staves,1887,10
Kramfors,battens,1887,10
Kramfors,deals,1887,10
Kristiania,boards,1879,10
La Roche Bernard,pitwood,1893,10
Langesund,pit props,1889,10
Langesund,pit props,1893,10
Laurvig,battens,1874,10
Laurvig,boards,1885,10
Laurvig,boards,1893,10
Laurvig,deals,1877,10
Laurvig,deals,1885,10
Laurvig,firewood,1883,10
Laurvig,firewood,1891,10
Laurvig,firewood,1895,10
Laurvig,sleepers,1883,10
Laurvig,staves,1895,10
Liepāja,battens,1899,10
Liepāja,logs,1897,10
Liepāja,pit props,1897,10
Liepāja,staves,1874,10
Ljusne,boards,1885,10
Ljusne,boards,1899,10
Ljusne,deals,1897,10
Ljusne,firewood,1895,10
Lulea,deals,1895,10
Lulea,firewood,1881,10
Lulea,firewood,1889,10
Lulea,firewood,1897,10
Mandal,pit props,1891,10
Minatitlan,logs,1874,10
Minatitlan,logs,1891,10
Miramichi,deal ends,1889,10
Miramichi,ends,1897,10
Miramichi,palings,1895,10
Miramichi,scantlings,1899,10
Mobile,boards,1897,10
Mobile,staves,1889,10
Montreal,ends,1881,10
Montreal,shooks,1883,10
Montreal,staves,1887,10
Montreal,staves,1893,10
Moss,pit props,1887,10
Moss,pit props,1891,10
Moss,staves,1881,10
Moulmein,blocks,1881,10
Muros,pitwood,1891,10
Musquash,boards,1883,10
Mönsterås,pit props,1889,10
Mönsterås,pit props,1895,10
Namsos,battens,1877,10
Nantes,hoops,1885,10
Nederkalix,battens,1881,10
Nederkalix,firewood,1887,10
New Orleans,blocks,1899,10
New Orleans,staves,1877,10
New Orleans,staves,1892,10
New Richmond,deals,1899,10
New York,handles,1895,10
New York,headings,1897,10
New York,hoops,1895,10
New York,planks,1889,10
New York,spars,1893,10
New York,squares,1893,10
New York,timber,1881,10
New York,woodware,1889,10
Newport News,doors,1897,10
Newport News,logs,1891,10
Newport News,mouldings,1899,10
Newport News,staves,1895,10
Norrkoping,laths,1895,10
Nyhamn,battens,1893,10
Nyhamn,battens,1895,10
Nyhamn,boards,1895,10
Odessa,logs,1899,10
Odessa,staves,1887,10
Onega,firewood,1885,10
Ornskjoldsvik,battens,1881,10
Ornskjoldsvik,battens,1885,10
Ornskjoldsvik,deals,1879,10
Ornskjoldsvik,deals,1897,10
Ornskjoldsvik,deals,1899,10
Parrsboro,deals,1893,10
Pascagoula,timber,1883,10
Pascagoula,timber,1891,10
Pascagoula,timber,1899,10
Pensacola,boards,1893,10
Pensacola,lumber,1897,10
Pitea,deals,1883,10
Pont-l'Abbé,pitwood,1891,10
Porsgrund,battens,1887,10
Porsgrund,deals,1881,10
Porsgrund,deals,1899,10
Porsgrund,poles,1877,10
Porsgrund,squares,1883,10
Porsgrund,timber,1899,10
Portland,logs,1899,10
Quebec City,battens,1875,10
Quebec City,battens,1899,10
Quebec City,scantlings,1875,10
Quebec City,scantlings,1877,10
Quebec City,timber,1895,10
Quebec City,wood,1875,10
Rafso,staves,1893,10
Rangoon,scantlings,1893,10
Redon,pit props,1889,10
Richibouctou,deals,1891,10
Richibouctou,ends,1889,10
Riga,battens,1890,10
Riga,blocks,1893,10
Riga,deals,1884,10
Riga,laths,1895,10
Riga,logs,1881,10
Riga,logs,1887,10
Riga,logs,1897,10
Riga,pit props,1875,10
Riga,pitwood,1891,10
Riga,poles,1887,10
Riga,rickers,1891,10
Riga,staves,1887,10
Rijeka,logs,1893,10
Risoer,deals,1899,10
Rotterdam,mouldings,1891,10
Rotterdam,wood,1889,10
