destination,commodity_form,year,shipments
Borrowstounness,pit props,1879,107
Glasgow,deals,1897,107
Grangemouth,battens,1881,107
Hartlepool (West),boards,1885,107
Liverpool,wood,1891,107
Swansea,pitwood,1885,107
Tyne Ports,boards,1893,107
Tyne Ports,hoops,1885,107
Bristol,deals,1877,106
Grimsby,deals,1893,106
Grimsby,deals,1895,106
Hull,battens,1889,106
Leith,hoops,1883,106
Newport,pit props,1889,106
Tyne Ports,boards,1885,106
Grangemouth,battens,1897,105
Hull,battens,1893,105
Liverpool,deal ends,1881,105
Glasgow,deals,1883,104
Hartlepool (West),deals,1887,104
Hull,boards,1889,104
Tyne Ports,pit props,1875,104
Glasgow,deals,1885,103
Glasgow,lumber,1897,103
Glasgow,staves,1895,103
Grangemouth,deals,1877,103
Grimsby,deals,1891,103
Liverpool,shooks,1883,103
Greenock,deals,1883,102
Hartlepool (West),battens,1877,102
Hartlepool (West),battens,1881,102
Hartlepool (West),deals,1893,102
Hull,timber,1899,102
Liverpool,ends,1893,102
Liverpool,handles,1887,102
Swansea,pitwood,1893,102
Glasgow,deals,1893,101
Grangemouth,deals,1895,101
Hartlepool (West),battens,1885,101
London,lathwood,1874,101
Barrow-in-Furness,deals,1877,100
Cardiff,deals,1885,100
Hull,firewood,1885,100
Leith,deals,1885,100
Borrowstounness,pit props,1893,99
Hartlepool (West),boards,1889,99
Hartlepool (West),sleepers,1889,99
Hull,laths,1895,99
Liverpool,timber,1875,99
London,timber,1885,99
Sunderland,pit props,1897,99
Borrowstounness,pitwood,1891,98
Cardiff,deals,1881,98
Hartlepool (West),battens,1895,98
Hull,battens,1887,98
Leith,battens,1893,98
Liverpool,ends,1875,98
Liverpool,planks,1887,98
Liverpool,planks,1897,98
London,lathwood,1885,98
London,timber,1881,98
Tyne Ports,boards,1887,98
Grangemouth,deals,1899,97
Leith,deals,1893,97
Liverpool,scantlings,1881,97
Liverpool,timber,1889,97
London,wood,1889,97
Newport,pit props,1885,97
Swansea,pit props,1885,97
Tyne Ports,battens,1895,97
Tyne Ports,boards,1889,97
Borrowstounness,pitwood,1899,96
Grangemouth,deals,1875,96
Hull,firewood,1899,96
Hull,staves,1895,96
Liverpool,boards,1877,96
Grimsby,battens,1877,95
Liverpool,ends,1881,95
Liverpool,ends,1883,95
Liverpool,planks,1895,95
Liverpool,scantlings,1889,95
Liverpool,timber,1887,95
London,ends,1889,95
Tyne Ports,deals,1875,95
Tyne Ports,deals,1897,95
Borrowstounness,pitwood,1897,94
Glasgow,deals,1889,94
Grangemouth,deals,1881,94
Liverpool,staves,1874,94
Liverpool,wood,1897,94
London,laths,1899,94
Newport,pit props,1893,94
Tyne Ports,battens,1897,94
Hartlepool (West),deals,1891,93
Hull,laths,1899,93
Liverpool,doors,1897,93
Liverpool,hoops,1887,93
London,ends,1891,93
Newcastle upon Tyne,pit props,1879,93
Bristol,deals,1875,92
Glasgow,lumber,1889,92
London,laths,1885,92
London,lathwood,1881,92
London,lumber,1889,92
Swansea,pitwood,1897,92
Hull,firewood,1897,91
Hull,timber,1889,91
Leith,wood,1883,91
Liverpool,deal ends,1874,91
Greenock,deals,1881,90
Hull,ends,1899,90
Hull,firewood,1887,90
Liverpool,battens,1897,90
London,boards,1879,90
Newport,pitwood,1893,90
Tyne Ports,staves,1885,90
Gloucester,deals,1887,89
Grangemouth,timber,1874,89
Grimsby,battens,1895,89
Hartlepool (West),boards,1895,89
Hull,battens,1891,89
Leith,battens,1891,89
