destination,commodity_form,year,shipments
Newport,battens,1879,3
Newport,battens,1885,3
Newport,blocks,1881,3
Newport,boards,1892,3
Newport,boards,1897,3
Newport,deals,1892,3
Newport,firewood,1881,3
Newport,firewood,1885,3
Newport,firewood,1895,3
Newport,laths,1885,3
Newport,lathwood,1897,3
Newport,mining timber,1891,3
Newport,poles,1893,3
Newport,spars,1887,3
Newport,staves,1887,3
Newport,staves,1889,3
Newport,wood,1881,3
Newport,wood,1886,3
Newry,deals,1897,3
Newry,ends,1885,3
Newry,ends,1891,3
Newry,ends,1893,3
Northfleet,boards,1887,3
Northfleet,sleepers,1887,3
Northfleet,timber,1887,3
PADSTOW,boards,1889,3
PENZANCE,deals,1889,3
PENZANCE,firewood,1883,3
PENZANCE,firewood,1887,3
PENZANCE,firewood,1899,3
PENZANCE,spars,1883,3
PENZANCE,spars,1889,3
PENZANCE,staves,1883,3
PENZANCE,staves,1885,3
PENZANCE,staves,1889,3
PERTH,boards,1897,3
PERTH,deals,1885,3
PERTH,firewood,1893,3
PERTH,pit props,1893,3
PERTH,poles,1885,3
Peterhead,boards,1881,3
Peterhead,boards,1885,3
Peterhead,deals,1887,3
Peterhead,deals,1892,3
Peterhead,firewood,1899,3
Peterhead,hoops,1893,3
Peterhead,lathwood,1881,3
Peterhead,palings,1881,3
Peterhead,spars,1881,3
Peterhead,spars,1887,3
Peterhead,spars,1891,3
Peterhead,spars,1893,3
Peterhead,staves,1892,3
Peterhead,wood,1897,3
Plymouth,firewood,1897,3
Plymouth,flooring,1889,3
Plymouth,flooring,1891,3
Plymouth,hoops,1881,3
Plymouth,hoops,1893,3
Plymouth,lathwood,1882,3
Plymouth,lathwood,1889,3
Plymouth,lathwood,1899,3
Plymouth,mouldings,1891,3
Plymouth,poles,1889,3
Plymouth,poles,1891,3
Plymouth,sleepers,1881,3
Plymouth,sleepers,1885,3
Plymouth,sleepers,1887,3
Plymouth,sleepers,1891,3
Plymouth,spars,1895,3
Plymouth,staves,1887,3
Plymouth,staves,1889,3
Plymouth,staves,1895,3
Plymouth,timber,1883,3
Plymouth,wood,1883,3
Poole,lathwood,1879,3
Poole,lathwood,1885,3
Poole,pit props,1891,3
Poole,poles,1885,3
Poole,poles,1899,3
Poole,scantlings,1885,3
Poole,scantlings,1887,3
Poole,spars,1881,3
Poole,spars,1885,3
Poole,timber,1887,3
Port Glasgow,deal ends,1875,3
Port Glasgow,planks,1874,3
Port Glasgow,squares,1889,3
Port Glasgow,staves,1887,3
Port Glasgow,timber,1887,3
Portsmouth,blocks,1893,3
Portsmouth,deals,1882,3
Portsmouth,firewood,1885,3
Portsmouth,laths,1899,3
Portsmouth,sleepers,1881,3
Portsmouth,sleepers,1883,3
Portsmouth,spars,1883,3
Portsmouth,spars,1891,3
Portsmouth,spars,1899,3
Portsmouth,squares,1893,3
Portsmouth,staves,1891,3
QUEENBOROUGH,battens,1887,3
QUEENBOROUGH,deals,1885,3
QUEENBOROUGH,sleepers,1893,3
QUEENBOROUGH,spars,1887,3
Quebec City,boards,1889,3
Quebec City,deal ends,1893,3
Quebec City,deals,1889,3
Quebec City,ends,1889,3
RAMSGATE,battens,1891,3
RAMSGATE,boards,1883,3
RAMSGATE,boards,1895,3
RAMSGATE,deals,1881,3
RAMSGATE,firewood,1881,3
RAMSGATE,firewood,1893,3
RAMSGATE,firewood,1899,3
RAMSGATE,flooring,1887,3
RAMSGATE,scantlings,1889,3
RAMSGATE,spars,1891,3
Rochester,batten ends,1883,3
Rochester,battens,1885,3
Rochester,battens,1899,3
Rochester,boards,1881,3
Rochester,ends,1897,3
Rochester,firewood,1891,3
Rochester,lathwood,1885,3
Rochester,planks,1881,3
Rochester,poles,1883,3
Rochester,sleepers,1883,3
Runcorn,boards,1891,3
Runcorn,pit props,1883,3
SCARBOROUGH,battens,1891,3
SCARBOROUGH,battens,1893,3
SCARBOROUGH,battens,1899,3
SCARBOROUGH,boards,1891,3
SCARBOROUGH,boards,1897,3
SCARBOROUGH,deals,1891,3
SCARBOROUGH,deals,1899,3
SCARBOROUGH,firewood,1897,3
SKIBBEREEN,deals,1881,3
STOCKHOLM,deals,1891,3
STOCKHOLM,firewood,1891,3
STORNOWAY,battens,1891,3
STORNOWAY,battens,1895,3
STORNOWAY,battens,1897,3
STORNOWAY,battens,1899,3
STORNOWAY,boards,1899,3
STORNOWAY,deals,1881,3
STORNOWAY,pit props,1895,3
STORNOWAY,staves,1887,3
STORNOWAY,staves,1893,3
STORNOWAY,staves,1895,3
STORNOWAY,staves,1897,3
STORNOWAY,staves,1899,3
Shields,deals,1887,3
Shoreham,battens,1891,3
Shoreham,laths,1897,3
Shoreham,sleepers,1889,3
Shoreham,spars,1887,3
Shoreham,spars,1891,3
Sligo,deal ends,1883,3
Sligo,deals,1885,3
Southampton,boards,1881,3
Southampton,deal ends,1875,3
Southampton,doors,1895,3
Southampton,ends,1889,3
Southampton,firewood,1881,3
Southampton,firewood,1891,3
Southampton,firewood,1893,3
Southampton,flooring,1895,3
Southampton,laths,1899,3
Southampton,lathwood,1878,3
Southampton,lathwood,1883,3
Southampton,pit props,1891,3
Southampton,poles,1889,3
Southampton,poles,1895,3
Southampton,scantlings,1877,3
Southampton,sleepers,1879,3
Southampton,spars,1879,3
Southampton,spars,1885,3
Southampton,spars,1887,3
Southampton,spars,1893,3
Southampton,timber,1881,3
Southampton,timber,1885,3
Southampton,wood,1891,3
Southampton,wood,1899,3
Stockton,boards,1887,3
Stockton,deals,1891,3
Stockton,firewood,1895,3
Stockton,oars,1881,3
Stockton,sleepers,1881,3
Stockton,spars,1881,3
Stockton,squares,1881,3
Sunderland,battens,1879,3
Sunderland,blocks,1885,3
Sunderland,crowntrees,1892,3
Sunderland,deal ends,1877,3
Sunderland,deal ends,1883,3
Sunderland,deal ends,1885,3
Sunderland,doors,1893,3
Sunderland,firewood,1883,3
Sunderland,handles,1883,3
Sunderland,hoops,1889,3
Sunderland,laths,1885,3
Sunderland,laths,1895,3
Sunderland,laths,1899,3
Sunderland,lathwood,1893,3
Sunderland,logs,1895,3
Sunderland,mining timber,1885,3
Sunderland,mining timber,1897,3
Sunderland,mouldings,1893,3
Sunderland,mouldings,1895,3
Sunderland,pit props,1882,3
Sunderland,pit props,1898,3
Sunderland,pitwood,1887,3
Sunderland,poles,1877,3
Sunderland,posts,1883,3
Sunderland,posts,1893,3
Sunderland,rickers,1893,3
Sunderland,scantlings,1897,3
Sunderland,shooks,1897,3
Sunderland,sleepers,1888,3
Sunderland,sleepers,1892,3
Sunderland,spars,1891,3
Sunderland,spars,1899,3
Sunderland,splits,1893,3
Sunderland,splits,1895,3
Sunderland,squares,1897,3
Sunderland,staves,1883,3
Sunderland,timber,1880,3
Sunderland,timber,1885,3
Sunderland,wood,1883,3
Sunderland,wood,1891,3
Swansea,battens,1881,3
Swansea,boards,1879,3
Swansea,boxboards,1893,3
Swansea,crowntrees,1891,3
Swansea,deal ends,1887,3
Swansea,deal ends,1893,3
Swansea,doors,1893,3
Swansea,ends,1887,3
Swansea,ends,1889,3
Swansea,firewood,1881,3
Swansea,firewood,1885,3
Swansea,flooring,1887,3
Swansea,lathwood,1877,3
Swansea,lathwood,1889,3
Swansea,logs,1891,3
Swansea,mining timber,1881,3
Swansea,mining timber,1891,3
Swansea,mouldings,1893,3
Swansea,pitwood,1886,3
Swansea,poles,1887,3
Swansea,sleepers,1885,3
Swansea,sleepers,1887,3
Swansea,spars,1881,3
Swansea,splints,1893,3
Swansea,staves,1881,3
Swansea,staves,1897,3
Swansea,timber,1883,3
Swansea,timber,1893,3
Swansea,wood pulp,1897,3
Teignmouth,battens,1887,3
Teignmouth,battens,1893,3
Teignmouth,boards,1883,3
Teignmouth,boards,1895,3
Teignmouth,boards,1899,3
Teignmouth,firewood,1883,3
Teignmouth,firewood,1887,3
Teignmouth,firewood,1889,3
Teignmouth,firewood,1891,3
Teignmouth,scantlings,1887,3
Teignmouth,sleepers,1891,3
Teignmouth,spars,1889,3
Teignmouth,timber,1891,3
Tralee,battens,1883,3
Tralee,deals,1881,3
Tralee,deals,1891,3
Tralee,deals,1897,3
Tralee,deals,1899,3
Tralee,ends,1895,3
Tralee,ends,1899,3
Troon,battens,1881,3
Troon,deal ends,1891,3
Troon,deals,1895,3
Troon,pit props,1887,3
Troon,pit props,1893,3
Troon,pit props,1895,3
Troon,staves,1889,3
Troon,timber,1883,3
Troon,timber,1891,3
Truro,boards,1889,3
Truro,firewood,1885,3
Truro,timber,1883,3
Tyne Ports,balks,1881,3
Tyne Ports,blocks,1881,3
Tyne Ports,blocks,1891,3
Tyne Ports,blocks,1897,3
Tyne Ports,blocks,1899,3
Tyne Ports,boxboards,1897,3
Tyne Ports,crowntrees,1879,3
Tyne Ports,crowntrees,1890,3
Tyne Ports,crowntrees,1892,3
Tyne Ports,deal ends,1884,3
Tyne Ports,deal ends,1892,3
Tyne Ports,doors,1883,3
Tyne Ports,handles,1891,3
Tyne Ports,headings,1891,3
Tyne Ports,joinery,1883,3
Tyne Ports,joinery,1893,3
Tyne Ports,lathwood,1889,3
Tyne Ports,lathwood,1891,3
Tyne Ports,logs,1885,3
Tyne Ports,logs,1887,3
Tyne Ports,logs,1889,3
Tyne Ports,logs,1891,3
Tyne Ports,logs,1893,3
Tyne Ports,lumber,1892,3
Tyne Ports,lumber,1898,3
Tyne Ports,mining timber,1898,3
Tyne Ports,oars,1881,3
Tyne Ports,pitwood,1889,3
Tyne Ports,pitwood,1899,3
Tyne Ports,planks,1892,3
Tyne Ports,planks,1893,3
Tyne Ports,poles,1879,3
Tyne Ports,poles,1898,3
Tyne Ports,posts,1887,3
Tyne Ports,posts,1899,3
Tyne Ports,rails,1885,3
Tyne Ports,scantlings,1883,3
Tyne Ports,shooks,1883,3
Tyne Ports,shooks,1887,3
Tyne Ports,shooks,1897,3
Tyne Ports,sleepers,1890,3
Tyne Ports,spars,1893,3
Tyne Ports,splints,1893,3
Tyne Ports,splits,1900,3
Tyne Ports,staves,1876,3
Tyne Ports,timber,1884,3
Tyne Ports,timber,1890,3
Tyne Ports,wood pulp,1885,3
WIGTOWN,battens,1895,3
WIGTOWN,boards,1883,3
WISBEACH,boards,1897,3
WISBEACH,deals,1891,3
WISBEACH,deals,1897,3
WISBECH,laths,1891,3
WISBECH,laths,1897,3
WISBECH,lathwood,1893,3
WISBECH,poles,1881,3
WISBECH,poles,1883,3
WISBECH,poles,1897,3
WISBECH,poles,1899,3
WISBECH,rickers,1897,3
WISBECH,sleepers,1891,3
WISBECH,staves,1887,3
WISBECH,staves,1895,3
WISBECH,staves,1897,3
WISBECH,timber,1899,3
Waterford,boards,1881,3
Waterford,boards,1885,3
Waterford,boards,1891,3
Waterford,boards,1899,3
Waterford,ends,1885,3
Waterford,lathwood,1885,3
Waterford,sleepers,1883,3
Waterford,staves,1885,3
Wexford,boards,1885,3
Wexford,boards,1899,3
Wexford,deals,1887,3
Wexford,deals,1899,3
Wexford,laths,1883,3
Wexford,laths,1885,3
Wexford,laths,1899,3
Weymouth,battens,1883,3
Weymouth,battens,1887,3
Weymouth,battens,1889,3
Weymouth,battens,1897,3
Weymouth,boards,1883,3
Weymouth,boards,1891,3
Weymouth,deals,1889,3
Weymouth,deals,1895,3
Weymouth,spars,1885,3
Weymouth,spars,1887,3
Whitby,battens,1881,3
Whitby,battens,1883,3
Whitby,battens,1897,3
Whitby,boards,1897,3
Whitby,deals,1887,3
Whitby,firewood,1881,3
Whitby,firewood,1893,3
Whitby,logs,1897,3
Whitehaven,battens,1885,3
Whitehaven,battens,1887,3
Whitehaven,battens,1895,3
Whitehaven,deal ends,1881,3
Whitehaven,deal ends,1889,3
Whitehaven,deals,1897,3
Whitehaven,firewood,1887,3
Whitehaven,firewood,1893,3
Wick,battens,1883,3
Wick,firewood,1885,3
Wick,pit props,1891,3
Wick,staves,1900,3
Wick,timber,1883,3
Wick,timber,1893,3
Woolwich,blocks,1887,3
Woolwich,boards,1887,3
Woolwich,firewood,1887,3
Woolwich,hoops,1887,3
Woolwich,lumber,1887,3
Yarmouth,boards,1892,3
Yarmouth,deal ends,1881,3
Yarmouth,flooring,1893,3
Yarmouth,hoops,1891,3
Yarmouth,laths,1891,3
Yarmouth,laths,1893,3
Yarmouth,lathwood,1895,3
Yarmouth,lumber,1897,3
Yarmouth,oars,1883,3
Yarmouth,oars,1885,3
Yarmouth,poles,1891,3
Yarmouth,poles,1899,3
Yarmouth,sleepers,1883,3
Yarmouth,spars,1883,3
Yarmouth,spars,1891,3
Yarmouth,spars,1893,3
Yarmouth,splits,1893,3
Yarmouth,timber,1883,3
Yarmouth,wood,1893,3
Aberdeen,balks,1893,2
Aberdeen,blocks,1895,2
Aberdeen,boxboards,1899,2
Aberdeen,deal ends,1881,2
Aberdeen,deal ends,1883,2
Aberdeen,deal ends,1891,2
Aberdeen,ends,1891,2
Aberdeen,firewood,1884,2
Aberdeen,firewood,1896,2
Aberdeen,flooring,1881,2
Aberdeen,flooring,1883,2
Aberdeen,flooring,1897,2
Aberdeen,laths,1895,2
Aberdeen,lathwood,1881,2
Aberdeen,lathwood,1893,2
Aberdeen,logs,1883,2
Aberdeen,logs,1887,2
Aberdeen,logs,1889,2
Aberdeen,oars,1883,2
Aberdeen,pit props,1884,2
Aberdeen,pit props,1885,2
Aberdeen,rickers,1883,2
Aberdeen,sleepers,1897,2
Aberdeen,staves,1887,2
Aberdeen,staves,1891,2
Aberdeen,timber,1883,2
Aberdeen,timber,1891,2
Aberdeen,timber,1897,2
Aberdeen,wood,1897,2
Aberystwyth,battens,1883,2
Aberystwyth,battens,1889,2
Aberystwyth,battens,1899,2
Aberystwyth,boards,1883,2
Aberystwyth,deals,1891,2
Aberystwyth,flooring,1889,2
Aberystwyth,laths,1893,2
Aberystwyth,laths,1897,2
Aberystwyth,lathwood,1881,2
Aberystwyth,lathwood,1883,2
Aberystwyth,lathwood,1891,2
Aberystwyth,pit props,1891,2
Aberystwyth,poles,1891,2
Aberystwyth,spars,1881,2
Alloa,battens,1888,2
Alloa,boards,1883,2
Alloa,boards,1891,2
Alloa,boards,1895,2
Alloa,deals,1888,2
Alloa,firewood,1883,2
Alloa,firewood,1891,2
Alloa,firewood,1893,2
Alloa,lathwood,1895,2
Alloa,logs,1885,2
Alloa,lumber,1897,2
Alloa,mining timber,1887,2
Alloa,pit props,1888,2
Alloa,pitwood,1888,2
Alloa,pitwood,1891,2
Alloa,pitwood,1898,2
Alloa,sleepers,1899,2
Alloa,staves,1898,2
Alloa,wood,1889,2
Alloa,wood,1891,2
Arbroath,battens,1885,2
Arbroath,battens,1887,2
Arbroath,boards,1889,2
Arbroath,boards,1897,2
Arbroath,deals,1895,2
Arbroath,firewood,1897,2
Arbroath,firewood,1899,2
Arbroath,lathwood,1891,2
Arbroath,lathwood,1895,2
Arbroath,lathwood,1899,2
Arbroath,pit props,1883,2
Arbroath,spars,1881,2
Arbroath,spars,1883,2
Ardrossan,battens,1881,2
Ardrossan,battens,1885,2
Ardrossan,blocks,1891,2
Ardrossan,blocks,1899,2
Ardrossan,boards,1897,2
Ardrossan,deals,1897,2
Ardrossan,logs,1899,2
Ardrossan,pit props,1887,2
Ardrossan,pit props,1891,2
Ardrossan,pit props,1899,2
Ardrossan,spoolwood,1899,2
Ardrossan,staves,1889,2
Ayr,firewood,1885,2
Ayr,lathwood,1883,2
Ayr,logs,1891,2
Ayr,palings,1883,2
Ayr,pitwood,1893,2
Ayr,pitwood,1895,2
Ayr,pitwood,1897,2
Ayr,sleepers,1885,2
Ayr,sleepers,1899,2
BARNSTAPLE,battens,1889,2
BARNSTAPLE,battens,1897,2
BARNSTAPLE,boards,1899,2
BARNSTAPLE,deals,1895,2
BARNSTAPLE,deals,1897,2
BARNSTAPLE,ends,1889,2
BARNSTAPLE,firewood,1887,2
BARNSTAPLE,flooring,1893,2
BARNSTAPLE,lathwood,1883,2
BEAUMARIS,battens,1881,2
BEAUMARIS,battens,1885,2
BEAUMARIS,battens,1889,2
BEAUMARIS,boards,1887,2
BEAUMARIS,boards,1899,2
BEAUMARIS,deals,1899,2
BEAUMARIS,firewood,1893,2
BEAUMARIS,laths,1885,2
BEAUMARIS,laths,1889,2
BEAUMARIS,lathwood,1885,2
BEAUMARIS,staves,1881,2
BLYTH,firewood,1889,2
BLYTH,pit props,1897,2
BLYTH,planks,1895,2
BLYTH,scantlings,1891,2
BLYTH,timber,1893,2
BLYTH,timber,1895,2
Banff,battens,1892,2
Banff,deals,1881,2
Banff,deals,1887,2
Banff,deals,1891,2
Banff,firewood,1891,2
Banff,flooring,1895,2
Banff,spars,1895,2
Banff,staves,1891,2
Banff,staves,1899,2
Banff,timber,1883,2
Banff,timber,1893,2
Barrow-in-Furness,balks,1881,2
Barrow-in-Furness,battens,1880,2
Barrow-in-Furness,blocks,1877,2
Barrow-in-Furness,blocks,1889,2
Barrow-in-Furness,boards,1887,2
Barrow-in-Furness,deal ends,1889,2
Barrow-in-Furness,deals,1880,2
Barrow-in-Furness,firewood,1877,2
Barrow-in-Furness,firewood,1883,2
Barrow-in-Furness,firewood,1897,2
Barrow-in-Furness,laths,1877,2
Barrow-in-Furness,laths,1895,2
Barrow-in-Furness,palings,1883,2
Barrow-in-Furness,pit props,1881,2
Barrow-in-Furness,pit props,1885,2
Barrow-in-Furness,pit props,1889,2
Barrow-in-Furness,pit props,1891,2
Barrow-in-Furness,planks,1897,2
Barrow-in-Furness,poles,1899,2
Barrow-in-Furness,scantlings,1881,2
Barrow-in-Furness,scantlings,1883,2
Barrow-in-Furness,scantlings,1897,2
Barrow-in-Furness,scantlings,1899,2
Barrow-in-Furness,sleepers,1893,2
Barrow-in-Furness,sleepers,1899,2
Barrow-in-Furness,spars,1877,2
Barrow-in-Furness,timber,1878,2
Barrow-in-Furness,wood pulp,1897,2
Belfast,crowntrees,1889,2
Belfast,crowntrees,1897,2
Belfast,deal ends,1895,2
Belfast,deal ends,1897,2
Belfast,deal ends,1899,2
Belfast,deals,1900,2
Belfast,firewood,1883,2
Belfast,firewood,1889,2
Belfast,firewood,1891,2
Belfast,flooring,1881,2
Belfast,flooring,1883,2
Belfast,flooring,1887,2
Belfast,flooring,1893,2
Belfast,headings,1897,2
Belfast,hoops,1888,2
Belfast,hoops,1896,2
Belfast,laths,1889,2
Belfast,laths,1891,2
Belfast,lathwood,1897,2
Belfast,logs,1881,2
Belfast,logs,1889,2
Belfast,logs,1892,2
Belfast,logs,1898,2
Belfast,logs,1900,2
Belfast,lumber,1896,2
Belfast,lumber,1898,2
Belfast,mouldings,1895,2
Belfast,palings,1899,2
Belfast,pit props,1885,2
Belfast,poles,1889,2
Belfast,poles,1895,2
Belfast,rails,1897,2
Belfast,rails,1899,2
Belfast,scantlings,1889,2
Belfast,scantlings,1897,2
Belfast,sleepers,1884,2
Belfast,splits,1889,2
Belfast,splits,1898,2
Belfast,squares,1881,2
Belfast,squares,1885,2
Belfast,squares,1897,2
Belfast,staves,1883,2
Belfast,staves,1898,2
Belfast,timber,1889,2
Belfast,timber,1891,2
Belfast,timber,1895,2
Berwick-upon-Tweed,battens,1899,2
Berwick-upon-Tweed,boards,1881,2
Berwick-upon-Tweed,firewood,1897,2
Berwick-upon-Tweed,laths,1893,2
Berwick-upon-Tweed,pit props,1881,2
Berwick-upon-Tweed,pit props,1893,2
Berwick-upon-Tweed,pitwood,1889,2
Berwick-upon-Tweed,staves,1885,2
Berwick-upon-Tweed,staves,1891,2
Berwick-upon-Tweed,staves,1895,2
Berwick-upon-Tweed,staves,1897,2
Birkenhead,poles,1895,2
Birkenhead,scantlings,1897,2
Birkenhead,spars,1895,2
Birkenhead,squares,1897,2
Bo'ness,blocks,1899,2
Bo'ness,deals,1899,2
Bo'ness,pitwood,1895,2
Bo'ness,sleepers,1877,2
Bo'ness,sleepers,1879,2
Bo'ness,wood,1899,2
Borrowstounness,balks,1899,2
Borrowstounness,battens,1874,2
Borrowstounness,blocks,1895,2
Borrowstounness,blocks,1899,2
Borrowstounness,deals,1874,2
Borrowstounness,deals,1875,2
Borrowstounness,deals,1877,2
Borrowstounness,firewood,1887,2
Borrowstounness,firewood,1897,2
Borrowstounness,headings,1881,2
Borrowstounness,lathwood,1889,2
Borrowstounness,logs,1879,2
Borrowstounness,lumber,1891,2
Borrowstounness,mining timber,1881,2
Borrowstounness,mining timber,1885,2
Borrowstounness,mining timber,1893,2
Borrowstounness,pit props,1888,2
Borrowstounness,pit props,1898,2
Borrowstounness,pitwood,1875,2
Borrowstounness,pitwood,1900,2
Borrowstounness,planks,1891,2
Borrowstounness,poles,1885,2
Borrowstounness,poles,1889,2
Borrowstounness,sleepers,1897,2
Borrowstounness,spoolwood,1883,2
Borrowstounness,squares,1885,2
Borrowstounness,staves,1891,2
Borrowstounness,wood,1881,2
Borrowstounness,wood,1885,2
Borrowstounness,wood,1893,2
Borrowstounness,wood,1897,2
Borrowstounness,wood,1899,2
Borrowstounness,wood,1900,2
Boston,doors,1897,2
Boston,ends,1893,2
Boston,firewood,1885,2
Boston,firewood,1893,2
Boston,handles,1887,2
Boston,laths,1893,2
Boston,oars,1891,2
Boston,pitwood,1899,2
Boston,sleepers,1885,2
Boston,sleepers,1892,2
Boston,spokes,1887,2
Boston,timber,1895,2
Boston,timber,1897,2
Boston,timber,1899,2
Bridgwater,battens,1900,2
Bridgwater,deals,1900,2
Bridgwater,ends,1895,2
Bridgwater,ends,1899,2
Bridgwater,firewood,1885,2
Bridgwater,firewood,1897,2
Bridgwater,flooring,1881,2
Bridgwater,flooring,1887,2
Bridgwater,laths,1887,2
Bridgwater,lathwood,1883,2
Bridgwater,pit props,1895,2
Bridgwater,poles,1895,2
Bridgwater,poles,1897,2
Bridgwater,spars,1883,2
Bridgwater,spars,1885,2
Bridgwater,spars,1891,2
Bridgwater,staves,1885,2
Bristol,batten ends,1899,2
Bristol,battens,1892,2
Bristol,battens,1896,2
Bristol,blocks,1893,2
Bristol,boards,1882,2
Bristol,boards,1892,2
Bristol,boards,1896,2
Bristol,boxboards,1893,2
Bristol,boxboards,1895,2
Bristol,boxboards,1897,2
Bristol,deals,1882,2
Bristol,deals,1896,2
Bristol,deals,1898,2
Bristol,doors,1898,2
Bristol,ends,1882,2
Bristol,ends,1884,2
Bristol,ends,1892,2
Bristol,flooring,1900,2
Bristol,handles,1891,2
Bristol,headings,1891,2
Bristol,hoops,1899,2
Bristol,lathwood,1876,2
Bristol,lathwood,1882,2
Bristol,lathwood,1887,2
Bristol,lathwood,1895,2
Bristol,lathwood,1897,2
Bristol,logs,1877,2
Bristol,lumber,1875,2
Bristol,lumber,1881,2
Bristol,mining timber,1889,2
Bristol,mining timber,1891,2
Bristol,mouldings,1885,2
Bristol,mouldings,1887,2
Bristol,mouldings,1889,2
Bristol,mouldings,1895,2
Bristol,palings,1874,2
Bristol,palings,1883,2
Bristol,pit props,1874,2
Bristol,pit props,1889,2
Bristol,pit props,1897,2
Bristol,pitwood,1875,2
Bristol,pitwood,1881,2
Bristol,pitwood,1885,2
Bristol,pitwood,1889,2
Bristol,planks,1885,2
Bristol,planks,1892,2
Bristol,planks,1896,2
Bristol,poles,1874,2
Bristol,poles,1877,2
Bristol,poles,1883,2
Bristol,poles,1891,2
Bristol,rickers,1875,2
Bristol,rickers,1887,2
Bristol,scantlings,1884,2
Bristol,sleepers,1895,2
Bristol,spars,1879,2
Bristol,spars,1887,2
Bristol,spars,1893,2
Bristol,spars,1899,2
Bristol,splints,1893,2
Bristol,spokes,1895,2
Bristol,squares,1877,2
Bristol,squares,1883,2
Bristol,squares,1891,2
Bristol,staves,1876,2
Bristol,staves,1878,2
Bristol,staves,1898,2
Bristol,timber,1898,2
Bristol,treenails,1875,2
Bristol,wood,1881,2
Bristol,wood,1885,2
Bristol,wood,1889,2
CARDIGAN,boards,1881,2
CARDIGAN,boards,1885,2
CARDIGAN,deals,1883,2
CARDIGAN,flooring,1881,2
CARDIGAN,lathwood,1881,2
CARLISLE,deals,1883,2
CARLISLE,deals,1885,2
CARLISLE,deals,1897,2
CARLISLE,ends,1899,2
COWES,boards,1881,2
COWES,boards,1887,2
COWES,firewood,1893,2
COWES,firewood,1897,2
COWES,firewood,1899,2
COWES,flooring,1885,2
COWES,splits,1897,2
COWES,squares,1885,2
COWES,staves,1883,2
Caernarfon,battens,1891,2
Caernarfon,battens,1895,2
Caernarfon,battens,1899,2
Caernarfon,blocks,1887,2
Caernarfon,boards,1890,2
Caernarfon,boards,1893,2
Caernarfon,deal ends,1885,2
Caernarfon,deal ends,1886,2
Caernarfon,deals,1886,2
Caernarfon,deals,1895,2
Caernarfon,ends,1897,2
Caernarfon,ends,1899,2
Caernarfon,flooring,1883,2
Caernarfon,flooring,1885,2
Caernarfon,flooring,1887,2
Caernarfon,flooring,1890,2
Caernarfon,flooring,1893,2
Caernarfon,lathwood,1881,2
Caernarfon,lathwood,1885,2
Caernarfon,lathwood,1886,2
Caernarfon,lathwood,1887,2
Caernarfon,mining timber,1881,2
Caernarfon,palings,1883,2
Caernarfon,spars,1887,2
Caernarfon (Carnarvon),battens,1885,2
Caernarfon (Carnarvon),boards,1885,2
Caernarfon (Carnarvon),deals,1885,2
Cardiff,battens,1879,2
Cardiff,battens,1896,2
Cardiff,boards,1896,2
Cardiff,boards,1898,2
Cardiff,deal ends,1883,2
Cardiff,deals,1880,2
Cardiff,deals,1882,2
Cardiff,deals,1892,2
Cardiff,doors,1899,2
Cardiff,firewood,1885,2
Cardiff,flooring,1881,2
Cardiff,flooring,1891,2
Cardiff,hoops,1891,2
Cardiff,hoops,1897,2
Cardiff,joinery,1899,2
Cardiff,laths,1885,2
Cardiff,laths,1895,2
Cardiff,lathwood,1890,2
Cardiff,lathwood,1896,2
Cardiff,oars,1883,2
Cardiff,pit props,1886,2
Cardiff,pitwood,1879,2
Cardiff,planks,1893,2
Cardiff,poles,1881,2
Cardiff,rickers,1899,2
Cardiff,scantlings,1895,2
Cardiff,scantlings,1897,2
Cardiff,scantlings,1899,2
Cardiff,sleepers,1887,2
Cardiff,sleepers,1889,2
Cardiff,sleepers,1891,2
Cardiff,spars,1881,2
Cardiff,spars,1889,2
Cardiff,splits,1881,2
Cardiff,squares,1897,2
Cardiff,staves,1895,2
Cardiff,timber,1889,2
Cardiff,wood,1881,2
Cardiff,wood,1884,2
Charlestown,boards,1877,2
Charlestown,lathwood,1877,2
Charlestown,planks,1877,2
Charlestown,squares,1877,2
Chester,battens,1883,2
Chester,battens,1887,2
Chester,boards,1885,2
Chester,boards,1897,2
Chester,deal ends,1885,2
Chester,ends,1897,2
Chester,firewood,1887,2
Chester,flooring,1881,2
Chester,hoops,1891,2
Chester,logs,1891,2
Chester,mining timber,1883,2
Chester,mining timber,1885,2
Chester,pit props,1890,2
Chester,pit props,1897,2
Chester,pit props,1899,2
Chester,pitwood,1895,2
Chester,scantlings,1885,2
Chester,scantlings,1889,2
Chester,sleepers,1881,2
Chester,sleepers,1887,2
Chester,timber,1895,2
Colchester,boards,1895,2
Colchester,firewood,1895,2
Colchester,laths,1897,2
Colchester,lathwood,1887,2
Colchester,lathwood,1889,2
Colchester,poles,1891,2
Colchester,poles,1893,2
Colchester,rickers,1893,2
Colchester,scantlings,1883,2
Colchester,scantlings,1885,2
Colchester,scantlings,1895,2
Colchester,scantlings,1899,2
Colchester,spars,1891,2
Colchester,staves,1895,2
Cork,battens,1895,2
Cork,battens,1899,2
Cork,boards,1883,2
Cork,boards,1885,2
Cork,boards,1893,2
Cork,deals,1896,2
Cork,ends,1896,2
Cork,ends,1899,2
Cork,laths,1881,2
Cork,lathwood,1885,2
Cork,palings,1881,2
Cork,scantlings,1891,2
Cork,spars,1881,2
Cork,staves,1881,2
Cork,staves,1889,2
Cork,staves,1891,2
