merchant,destination,year,shipments
James Kennedy & Co.,Alloa,1891,6
James Kennedy & Co.,Glasgow,1885,6
Jas. Cormack,Leith,1887,6
Jas. Davis,Swansea,1883,6
Jewson,Yarmouth,1895,6
Jno. Jones & Co.,Swansea,1887,6
John Denholm & Co.,Borrowstounness,1883,6
John Fleming & Co.,Aberdeen,1891,6
John Jessiman,Dundee,1889,6
John Mitchell & Co.,Leith,1889,6
John Thompson & Sons,Sunderland,1889,6
Johnson,Hull,1874,6
Jones,,1879,6
Jones,Bristol,1883,6
Jones,Newport,1893,6
Jones & Co.,Newport,1881,6
Jones & Nash,Bristol,1887,6
Jones & Wainwright,Bristol,1887,6
Jones & Wainwright,Bristol,1895,6
"Jones, Heard, & Ingram",Berwick-upon-Tweed,1881,6
"Jones, Heard, & Ingram",Newport,1883,6
Kennedy,Alloa,1885,6
Kennedy & Co.,Alloa,1889,6
King's Lynn Steamship Co.,King's Lynn,1883,6
Kinloch,London,1879,6
Kirkwood,Alloa,1893,6
Knott & Barker,Grimsby,1895,6
L. Bamberger,London,1897,6
Langlands & McAinsh,Dundee,1899,6
Leask & Co.,Peterhead,1891,6
Leask & Co.,Peterhead,1893,6
Lines Bros.,,1881,6
Lines Bros.,London,1895,6
Llynvi,Swansea,1885,6
Love,Alloa,1899,6
Love & Stewart,,1897,6
Love & Stewart,Ayr,1899,6
Love & Stewart,Glasgow,1893,6
Love & Stewart,Inverkeithing,1877,6
"Love, Stewart & Co.",Borrowstounness,1899,6
Lowell,,1879,6
Lower Brunswick yard,London,1885,6
M'Pherson & M'Laren,Grangemouth,1899,6
M. J. Ellingsen,Granton,1893,6
M. Ventura,Liverpool,1899,6
Mackay,Liverpool,1895,6
Madsen,Alloa,1887,6
Madsen,Granton,1891,6
Madsen & Borck,Granton,1879,6
Manzanos & Co.,Cardiff,1883,6
May & Hassell,Hartlepool (West),1897,6
May & Hassell,MANCHESTER,1899,6
May & Hassell,Poole,1883,6
May & Hassell,Poole,1889,6
May & Hassell,Poole,1897,6
McPherson & Co.,Banff,1885,6
McPherson & McLaren,Grangemouth,1885,6
McPherson & McLaren,Grangemouth,1897,6
Meggitt & Jones,Cardiff,1895,6
Meggitt & Jones,Cardiff,1897,6
Millar,Montrose,1889,6
Mitchell,Leith,1887,6
Morel Bros.,Cardiff,1882,6
Morris & Smith,Cardiff,1893,6
Morris & Smith,Cardiff,1895,6
Morris & Smith,Cardiff,1897,6
N. R. Taylor,Grimsby,1891,6
Napier,Hartlepool (West),1893,6
Napier & Render,Sunderland,1893,6
"Nevill, Druce, & Co.",Llanelli,1883,6
"Nevill, Druce, & Co.",Llanelli,1887,6
Newport Pitwood Co.,,1885,6
Newport Pitwood Co.,Cardiff,1898,6
Newport Pitwood Co.,Newport,1892,6
Newport Pitwood Co.,Newport,1898,6
Newport Pitwood Co.,Swansea,1893,6
Nicholas & Co.,Newport,1887,6
Nicholas & Co.,Newport,1899,6
North Eastern Railway Co.,Hull,1899,6
"North, Ellis, & Co.",Grimsby,1899,6
O'Connor & Cullen,Sligo,1883,6
O'Connor & Cullen,Sligo,1887,6
Osbeck,Hartlepool (West),1893,6
Osbeck,Tyne Ports,1893,6
Osbeck,Tyne Ports,1895,6
Osbeck & Co.,Hartlepool (West),1889,6
Osbeck & Co.,Liverpool,1897,6
Osbeck & Co.,Liverpool,1899,6
P. & J. Wilkie,Grangemouth,1877,6
P. Lowell,Newport,1881,6
P. Osbeck,Tyne Ports,1875,6
P. Osbeck,Tyne Ports,1879,6
P. Whiteside & Co.,Liverpool,1885,6
"Palmer, Hall, & Co.",Tyne Ports,1881,6
"Palmer, Hall, & Co.",Tyne Ports,1893,6
Parsons Bros.,NEWHAVEN,1893,6
Parsons Bros.,NEWHAVEN,1895,6
"Partridge, Jones & Co.",Newport,1887,6
"Partridge, Jones & Co.",Newport,1897,6
Paton & Sons,Ayr,1885,6
Pearson & Co.,Hartlepool (West),1879,6
Pedersen,Hull,1891,6
Pedersen & Co.,Hartlepool (West),1899,6
Pedersen & Co.,Sunderland,1889,6
Pickford,Hartlepool (West),1883,6
Pickford,Hartlepool (West),1885,6
Pickford,Hartlepool (West),1897,6
Pickford & Co.,Hartlepool (West),1899,6
"Pickford, Ford, & Co.",Newport,1883,6
Pitcairn Bros.,Liverpool,1887,6
"Poole, Baltic, & Quebec Timber Co.",Poole,1885,6
Potts & Redhead,Liverpool,1893,6
Potts & Redhead,Liverpool,1897,6
Powley,Cardiff,1893,6
Price & Co.,,1877,6
Price & Co.,Barrow-in-Furness,1883,6
Price & Co.,Gloucester,1887,6
Price & Co.,Gloucester,1891,6
Price & Pierce,,1881,6
Price & Pierce,Liverpool,1885,6
Price & Pierce,London,1889,6
Price & Pierce,London,1895,6
Pyman,Hartlepool (West),1895,6
Pyman,Tyne Ports,1883,6
Pyman,Tyne Ports,1889,6
Pyman,Tyne Ports,1893,6
Pyman & Co.,Hartlepool (West),1885,6
Pyman & Co.,Hartlepool (West),1887,6
"Pyman, Bell, & Co.",Hull,1887,6
"Pyman, Bell, & Co.",Hull,1891,6
"Pyman, Bell, & Co.",Tyne Ports,1885,6
Quiggin & Co.,,1881,6
Quiggin & Co.,DOUGLAS,1887,6
Quiggin & Co.,DOUGLAS,1893,6
Quitmann,London,1883,6
R. & J. Henderson,London,1895,6
R. Blick,Gloucester,1885,6
R. Coltart & Co.,,1899,6
R. Cox & Co.,Liverpool,1897,6
"R. Gething, jun., & Co.",Newport,1883,6
"R. Gething, junr., & Co.",Newport,1899,6
R. Grandidge,Chester,1887,6
R. Grandidge,Liverpool,1887,6
R. H. Dahl,London,1879,6
R. H. Penney & Sons,Shoreham,1899,6
R. Martin & Co.,Dublin,1893,6
R. Martin & Co.,Dublin,1899,6
R. Melville & Co.,Grangemouth,1885,6
R. Michell & Son,Truro,1889,6
R. Millar & Sons,Aberdeen,1897,6
R. Thorman,Sunderland,1883,6
R. Trotter,Sunderland,1897,6
R. Wade,Hartlepool (West),1881,6
R. Wade,Hull,1895,6
R. Wade,Hull,1897,6
R. Wade & Co.,Hartlepool (West),1889,6
"R. Wade, Sons & Co., Ltd.",,1899,6
"R. Wade, Sons, & Co.",Hartlepool,1895,6
Rayner,,1881,6
Rayner & Moller,,1889,6
Rayner & Moller,Hartlepool (West),1877,6
Reay,Sunderland,1885,6
Rhodes,Hartlepool (West),1879,6
Rhodes & Co.,Hartlepool (West),1879,6
Richards,Cardiff,1881,6
"Richardson, Spence, & Co.",Southampton,1897,6
Ritchie Bros.,Liverpool,1883,6
Ritchie Bros.,Liverpool,1899,6
Robb Bros.,Belfast,1887,6
Robb Bros.,Belfast,1895,6
"Robinson, Anderson, & Co.",Stockton,1885,6
"Robinson, David, & Co.",Cardiff,1893,6
"Robinson, Dunn, & Co.",Grangemouth,1899,6
"Robinson, Dunn, & Co.",Greenock,1883,6
"Robinson, Dunn, & Co.",Greenock,1889,6
"Robson, Miller, & Co.",Tyne Ports,1895,6
Rogers,Cardiff,1881,6
Ropkins & Co.,WISBECH,1895,6
Ross & Co.,Liverpool,1875,6
S. Brown,London,1897,6
Salvesen,Granton,1883,6
Salvesen,Leith,1885,6
Salvesen,Leith,1895,6
Scott,Tyne Ports,1885,6
Seddon & Co.,Grimsby,1889,6
Short Bros.,Sunderland,1888,6
Short Bros.,Sunderland,1893,6
Sidney Robinson & Co.,Cardiff,1889,6
Sieveking,London,1879,6
Simkin Bros.,Cardiff,1888,6
Simson,London,1879,6
Simson & Mason,,1881,6
Singleton,Glasgow,1889,6
"Singleton, Dunn, & Co.",Greenock,1889,6
Skelton & Schofield,London,1875,6
Sligo Wood & Iron Co.,Sligo,1889,6
Slimman & Robertson,Dundee,1887,6
Smith & Co.,Hull,1899,6
Somerset Trading Co.,Bridgwater,1893,6
Southern,Newcastle upon Tyne,1879,6
Southern & Nephew,MANCHESTER,1899,6
St. John Hunt & Co.,NEWHAVEN,1887,6
St. John Hunt & Co.,NEWHAVEN,1889,6
Stanley,WISBECH,1885,6
"Stanley, Bristow, & Copley",WISBECH,1889,6
Stave sheds,London,1887,6
Stevenson & Cowie,Borrowstounness,1895,6
Stewart Bros.,,1883,6
Stewart Bros.,Liverpool,1883,6
Stonehouse & Co.,Cardiff,1891,6
Sutcliffe,Grimsby,1897,6
Sutherland & Co.,Liverpool,1881,6
"Sydenham, Hunt, & Co.",Poole,1885,6
T. & C. Martin,Dublin,1897,6
T. A. Whittle & Co.,FAVERSHAM,1883,6
T. A. Whittle & Co.,FAVERSHAM,1897,6
T. Adams & Co.,Gloucester,1881,6
T. Adams & Co.,Gloucester,1889,6
T. Adams & Sons,Gloucester,1891,6
T. B. & S. Batchelor,Newport,1895,6
T. B. & S. Batchelor & Co.,Newport,1889,6
T. B. & S. Batchelor & Co.,Newport,1899,6
T. B. Allen & Co.,Liverpool,1899,6
T. Elliott & Son,Sunderland,1883,6
T. Gabriel & Son,Grimsby,1883,6
T. Meadows & Co.,Liverpool,1895,6
T. Nickels & Co.,Liverpool,1899,6
T. Saul & Son,Yarmouth,1893,6
T. Saul & Son,Yarmouth,1899,6
T. Walker & Co.,Hartlepool (West),1879,6
T. Walker & Co.,Hartlepool (West),1887,6
"T. Wilson, Sons, & Co.",Grimsby,1893,6
Tagart,London,1897,6
Tagart,Southampton,1879,6
Tapson & Co.,Cardiff,1885,6
Taylor,Bristol,1879,6
Taylor,Fleetwood,1887,6
Taylor & Butler,Harwich,1899,6
Taylor & Low Bros.,Bristol,1875,6
Taylor & Low Bros.,Bristol,1881,6
"Taylor, Pierce, & Co.",Liverpool,1885,6
Tealby,Hull,1883,6
Tellefsen,Cardiff,1881,6
Thompson,Cardiff,1881,6
Thompson & Co.,King's Lynn,1885,6
"Thompson, Bonar, & Co.",London,1883,6
"Thompson, Pattrick, & Woodwark",King's Lynn,1889,6
Thomson,Alloa,1881,6
Thomson,Borrowstounness,1883,6
Thomson & Balfour,Borrowstounness,1881,6
Thomson & Gray,Greenock,1889,6
Thos. R. Robinson,Swansea,1881,6
Trayes,Cardiff,1879,6
Trayes & Co.,Cardiff,1877,6
Trayes & Co.,Cardiff,1895,6
Uhthoff & Co.,London,1883,6
Upper Quebec yard,London,1885,6
Upper Quebec yard,London,1887,6
Vipond,Newport,1879,6
Vivian,Swansea,1889,6
W. & S. Scott,Rochester,1897,6
W. Alexander & Sons,Ayr,1895,6
W. Ashford,DARTMOUTH,1885,6
W. Brown & Co.,Ipswich,1885,6
W. Brown & Co.,Ipswich,1899,6
W. C. Townsend,Aberdeen,1891,6
W. Christie & Co.,Grangemouth,1887,6
W. Christie & Co.,Grimsby,1885,6
W. Christie & Co.,Hartlepool (West),1889,6
W. Crundall,Rochester,1883,6
W. Crundall & Co.,Dover,1895,6
W. Crundall & Co.,Dover,1897,6
W. Crundall & Co.,RAMSGATE,1899,6
W. D. Coxon,,1877,6
W. D. Coxon,Hartlepool (West),1879,6
W. D. Coxon,Hartlepool (West),1895,6
W. Dawbarn & Co.,,1877,6
W. Dawbarn & Co.,Hartlepool (West),1877,6
W. G. Morrison & Co.,Grangemouth,1877,6
W. Gradwell,Barrow-in-Furness,1881,6
W. Huntington,LANCASTER,1889,6
W. J. Robinson,Dublin,1887,6
W. J. Young,Hartlepool (West),1884,6
W. M. Mackay,Liverpool,1893,6
W. M. Mackay,London,1899,6
W. Pearson,Hartlepool,1899,6
W. Pearson,Hartlepool (West),1895,6
W. Stewart & Co.,Leith,1874,6
Wade,Hull,1889,6
Walker & Co.,Hartlepool (West),1879,6
Watson & Co.,Middlesbrough,1893,6
Watson & Co.,Middlesbrough,1895,6
Watson & Todd,Liverpool,1891,6
Watts Williams,Cardiff,1899,6
"Watts, Ward, & Co.",Cardiff,1892,6
"Watts, Ward, & Co.",Swansea,1893,6
Wiener,Sunderland,1893,6
Wilkie,Grangemouth,1887,6
Williams,Swansea,1881,6
Williams & Davies,Liverpool,1891,6
Williams & Davies,Liverpool,1899,6
Wilson,Hull,1881,6
Wilson,Hull,1899,6
Wilson & Co.,Hull,1889,6
Wilsons,Hartlepool (West),1897,6
Wilsons,Hull,1898,6
Wilsons,Liverpool,1899,6
With,,1885,6
Wm. Graham,Dublin,1899,6
Wm. Williams,Chester,1891,6
Wright & Breakenridge,Glasgow,1887,6
Wright & Breakenridge,Glasgow,1889,6
Wright & Breakenridge,Greenock,1881,6
Wright & Co.,Glasgow,1887,6
& Co.,Hartlepool (West),1875,5
"& c., Ericsson",Hull,1875,5
"& c., Haagensen",Hull,1874,5
"& c., Haagensen",Hull,1875,5
"& c., Harrison & Singleton",Barrow-in-Furness,1877,5
"& c., Jones & Nash",Newcastle upon Tyne,1877,5
"& c., Simony",Hull,1874,5
"& c., Taylor & Co.",Bristol,1874,5
"& c., Taylor & Low Bros.",Bristol,1877,5
"& c., Voigt",Hull,1874,5
"& c., Winter",,1875,5
"& c., Wintringham & Son",Grimsby,1877,5
A. Beeby & Son,Boston,1897,5
A. Bruce & Co.,Grimsby,1899,5
A. Bruce & Co.,Kirkcaldy,1899,5
A. Bruce & Co.,Methil,1893,5
A. Bruce & Co.,Troon,1889,5
A. Capelle,COWES,1897,5
A. Creighton & Co.,Peterhead,1891,5
A. Creighton & Co.,Peterhead,1893,5
A. Creighton & Co.,Peterhead,1899,5
A. Dobell,Liverpool,1885,5
A. F. & D. Mackay,Liverpool,1885,5
A. F. & D. Mackay,Liverpool,1897,5
A. F. & D. Mackay,Liverpool,1899,5
A. Forres,Cardiff,1885,5
A. H. Tapson,Newport,1893,5
A. H. Tapson & Co.,Cardiff,1887,5
A. H. Tapson & Co.,Newport,1881,5
A. Hood & Co.,Tyne Ports,1883,5
A. Hood & Co.,Tyne Ports,1895,5
A. Livingston & Co.,Hartlepool (West),1891,5
A. McEwen,Wick,1881,5
A. R. Rennie,Leith,1874,5
A. R. Thomas,Cardiff,1879,5
A. R. Thomas,Cardiff,1883,5
A. R. Watson & Co.,Inverness,1897,5
A. R. Watson & Co.,Inverness,1899,5
A. Reed,Hartlepool (West),1891,5
A. de Torres,Cardiff,1889,5
A. de Torres,Cardiff,1891,5
Acorn yard,,1887,5
Adams & Co.,Gloucester,1881,5
Alexander & Sons,Ayr,1885,5
Alfred Haddon,Southampton,1881,5
Allison,Glasgow,1879,5
"Allison, Cousland, & Hamilton",Glasgow,1877,5
"Allison, Cousland, & Hamilton",Greenock,1875,5
Arbroath Saw-mill Co.,Arbroath,1891,5
Arbroath Saw-mill Co.,Arbroath,1895,5
"Armstrong, Addison, & Co.",Sunderland,1895,5
"Ashbee, Sons, & Co.",Gloucester,1895,5
"Ashbee, Sons, & Co.",Gloucester,1899,5
B. F. Dowdeswell,London,1891,5
Bailey,Hull,1875,5
Baird,Hartlepool (West),1895,5
Baltic Saw-mills Co.,Rochester,1897,5
Barkworth & Spaldin,Gloucester,1891,5
Barkworth & Spaldin,Gloucester,1893,5
Barkworth & Spaldin,Hull,1883,5
Barkworth & Spaldin,Hull,1885,5
Barnes,Bristol,1879,5
Barnes & King,Bristol,1877,5
Barraclough,Hartlepool (West),1895,5
Bayley,Plymouth,1895,5
Bayly,Plymouth,1885,5
Bayly,Plymouth,1891,5
Begg & Co.,Cardiff,1879,5
Bell,Cardiff,1895,5
Bell,Dundee,1885,5
Bell,Dundee,1887,5
"Bell, Harrison & Co.",Cardiff,1895,5
Bennetts & Co.,,1887,5
Bennetts & Co.,Hull,1885,5
"Bessler, Waechter, & Co.",Tyne Ports,1883,5
Betts & Co.,Weymouth,1893,5
Black,Newcastle upon Tyne,1879,5
Black,Tyne Ports,1879,5
Blaik & Co.,Leith,1883,5
Blaik & Co.,Leith,1891,5
Booth & Co.,Gloucester,1881,5
"Borries, Craig, & Co.",Sunderland,1897,5
"Borries, Craig, & Co.",Tyne Ports,1881,5
Bowman & Co.,Kirkcaldy,1889,5
Bradley & Currier,London,1881,5
Briggs,Hull,1875,5
Bristow & Copley,King's Lynn,1897,5
Broadbent & Gresham,Hull,1899,5
Brown,Hull,1875,5
Brown,London,1883,5
Brown & Co.,London,1899,5
"Brown, Shipley & Co.",Liverpool,1899,5
Brownlee,Grangemouth,1891,5
Brownlee & Co.,,1889,5
Brownlee & Co.,Glasgow,1893,5
Brownlee & Co.,Glasgow,1899,5
Bruce,Kirkcaldy,1889,5
Bruce & Co.,Boston,1891,5
"Bryant, Powis, & Co.",,1881,5
"Bryce, Junor, & White",Liverpool,1897,5
"Bryson, Jameson",Hull,1879,5
Budd,Cardiff,1889,5
Budd,Newport,1884,5
Budd & Co.,Newport,1890,5
Budd & Co.,Newport,1896,5
"Burt, Boulton, & Co.",Grimsby,1883,5
"Burt, Boulton, & Co.",Hartlepool (West),1897,5
"Burt, Boulton, & Co.",London,1889,5
"Burt, Boulton, & Co.",Sunderland,1883,5
"Burt, Boulton, & Haywood",LOWESTOFT,1885,5
"Burt, Boulton, & Haywood",London,1891,5
"Burt, Boulton, & Haywood",London,1893,5
C. Bessent & Son,Rochester,1887,5
C. Bessent & Son,Rochester,1899,5
C. Blades,LANCASTER,1881,5
C. Blades,LANCASTER,1883,5
C. Blades,LANCASTER,1891,5
C. Calder & Co.,Hartlepool (West),1895,5
C. Calder & Co.,LOWESTOFT,1897,5
C. Calder & Co.,Middlesbrough,1889,5
C. H. Glover & Co.,London,1893,5
C. Jones & Sons,Chester,1897,5
C. Nielsen,Hartlepool (West),1881,5
C. Nielsen & Co.,Hartlepool (West),1883,5
C. Salvesen,Granton,1889,5
C. Salvesen,Leith,1893,5
C. Salvesen,Leith,1895,5
C. Salvesen & Co.,Leith,1874,5
C. Schroeter,Cardiff,1895,5
C. Schroeter,Cardiff,1899,5
C. Schroeter & Co.,Cardiff,1893,5
C. Schroeter & Co.,Cardiff,1897,5
"C. Taylor, Sons, & Co.",Fleetwood,1889,5
"C. Taylor, Sons, & Co.",Fleetwood,1893,5
"C. Taylor, Sons, & Co.",Liverpool,1895,5
C. W. Meier,Sunderland,1881,5
C. W. Meier,Sunderland,1883,5
C. W. Meier & Co.,,1883,5
Calder & Co.,Borrowstounness,1885,5
Calder & Co.,Boston,1887,5
Calder & Co.,Boston,1889,5
"Calder, Lunan, & Co.",Granton,1874,5
Cameron Bros.,PERTH,1889,5
Cameron Bros.,PERTH,1897,5
Carr,Grimsby,1885,5
Carr & Co.,Grimsby,1881,5
Carr & Co.,Grimsby,1891,5
Carvill Bros.,Newry,1883,5
Carvill Bros.,Newry,1887,5
Caswell & Bowden,Hull,1895,5
"Caswell & Bowden, Ltd.",Hull,1899,5
Chaloner & Co.,Liverpool,1881,5
Chapman,Grimsby,1881,5
Christie,Grimsby,1889,5
Christie & Co.,Ardrossan,1885,5
Churchill,Liverpool,1881,5
Churchill,London,1887,5
Churchill & Co.,London,1874,5
Churchill & Sim,,1893,5
Churchill & Sim,,1899,5
Churchill & Sim,Portsmouth,1883,5
Clayton & Armstrong,Tyne Ports,1883,5
Clayton & Armstrong,Tyne Ports,1899,5
Clephans & Wiencke,Tyne Ports,1881,5
Co-operative Ice Co.,Grimsby,1885,5
Coal Co.,Kirkcaldy,1891,5
Cobbett & Co.,London,1899,5
Coltart & Co.,Liverpool,1874,5
Colthurst & Co.,Bridgwater,1885,5
Commercial yard,London,1885,5
Consignees,,1889,5
Consignees,Harwich,1889,5
Cook,Swansea,1889,5
Cowdenbeath Coal Co.,Alloa,1891,5
Cox Bros. & Co.,Waterford,1893,5
Coxon,Hartlepool (West),1883,5
Coxon,Hartlepool (West),1889,5
Creighton,Peterhead,1883,5
Crow & Co.,Liverpool,1879,5
Currie,Leith,1891,5
D. Dorman & Co.,Belfast,1899,5
D. R. Charles,Barrow-in-Furness,1879,5
D. Sutherland,Wick,1885,5
D. W. Beattie,Leith,1887,5
Dahl & Co.,,1897,5
Davidson,Aberdeen,1895,5
Davies & Co.,Swansea,1889,5
Dempsey & Co.,Fleetwood,1889,5
Denholm,Borrowstounness,1879,5
Denholm & Co.,Alloa,1885,5
Denholm & Co.,Alloa,1889,5
Depeaux,Swansea,1899,5
Diamond Match Co.,Liverpool,1895,5
Dixon,Belfast,1887,5
Dixon,Belfast,1893,5
Dobell & Co.,Liverpool,1877,5
Dolton,Southampton,1893,5
"Dolton, Bournes, & Dolton",,1897,5
"Dolton, Bournes, & Dolton",,1899,5
Donaldson,Borrowstounness,1889,5
Donaldson & Son,Dundee,1887,5
Driver,Southampton,1897,5
Drysdale,London,1881,5
Drysdale Bros.,Liverpool,1884,5
Drysdale Bros.,Liverpool,1886,5
Drysdale Bros.,London,1887,5
Duncan,Leith,1881,5
Duncan,Liverpool,1895,5
Duncan & Jamieson,Wick,1897,5
"Dunn, Brown & Co.",London,1899,5
Durell,London,1889,5
Durell & Co.,,1899,5
Duus & Co.,London,1883,5
Duus Brown & Co.,Liverpool,1895,5
Duus Brown & Co.,London,1893,5
"Dymock, Smith, & Co.",Borrowstounness,1885,5
"Dymock, Smith, & Co.",Borrowstounness,1887,5
E. Bannister & Co.,Grimsby,1885,5
E. K. Corke,Southampton,1883,5
E. Maude & Sons,Goole,1887,5
E. Pritchard,Hartlepool (West),1889,5
E. W. Campbell,Sunderland,1891,5
E. Williams Cook,Swansea,1884,5
"E. Williams, Cook, & Co.",Swansea,1891,5
"E. Williams, Cook, & Co.",Swansea,1899,5
Ebbw Vale Co.,Newport,1891,5
Edmiston,Glasgow,1887,5
Edmiston & Mitchells,Glasgow,1874,5
Edmiston & Mitchells,Glasgow,1898,5
Ellis,Grimsby,1883,5
English,WISBECH,1891,5
English & Swedish Timber Co.,Sunderland,1877,5
Erichsen,Hartlepool (West),1895,5
Eustace & Co.,Cork,1885,5
Ewing & Co.,Liverpool,1899,5
Exors. of W. Gradwell,Barrow-in-Furness,1885,5
Exors. of W. Gradwell,Barrow-in-Furness,1887,5
F. A. Christie & Son,Ipswich,1899,5
F. Briesemann's Successors,London,1895,5
F. C. Huntley,Sunderland,1887,5
F. E. Aitken,Cardiff,1891,5
F. Reeves,NEWHAVEN,1893,5
F. Spaight & Sons,Limerick,1889,5
F. Spaight & Sons,Limerick,1893,5
"F. Spaight & Sons, Ltd.",Limerick,1899,5
Farnworth,,1883,5
Farnworth & Jardine,,1889,5
Farnworth & Jardine,Liverpool,1896,5
Farnworth & Jardine,London,1897,5
Fawcett & Co.,Hartlepool (West),1897,5
"Ferguson, Davidson, & Co.",Leith,1881,5
Fife Coal Co.,Borrowstounness,1881,5
Fischer,Alloa,1887,5
Fleming,Dundee,1895,5
Ford & Pickford,Newport,1887,5
Ford & Pickford,Newport,1889,5
Ford & Pickford,Newport,1893,5
Forslind & Co.,Hartlepool (West),1887,5
Forslind & Rex,Leith,1889,5
Fox,Plymouth,1891,5
"Fox, Sons, & Co.",Plymouth,1885,5
"Foy, Morgan, & Co.",,1899,5
"Furness, Withy, & Co.",Tyne Ports,1893,5
G. A. Carr,Grimsby,1895,5
G. Bjorck,Hull,1885,5
G. Bradley & Co.,Hartlepool (West),1895,5
G. F. Neame,,1879,5
G. F. Neame & Co.,London,1874,5
G. F. Neame & Co.,London,1885,5
G. F. Neame & Co.,London,1895,5
G. Gibson,Leith,1897,5
G. Gibson & Co.,Leith,1895,5
G. Heyn & Sons,Belfast,1881,5
G. Heyn & Sons,Belfast,1891,5
G. Hooper & Co.,Bridgwater,1895,5
G. Hooper & Co.,Bridgwater,1897,5
G. Horsley,Hull,1897,5
G. Horsley & Co.,Hartlepool (West),1891,5
G. Horsley & Co.,Middlesbrough,1885,5
G. Jessiman,Dundee,1875,5
G. M. Barnes,Bristol,1877,5
G. Mason,Ipswich,1885,5
G. Pyman,Hartlepool,1899,5
G. Pyman & Co.,Hartlepool (West),1881,5
G. Pyman & Co.,Newcastle upon Tyne,1877,5
G. Reid,Banff,1893,5
G. Reid,Banff,1897,5
G. V. Turnbull & Co.,Leith,1895,5
"G. W. Jones, Heard, & Co.",Newport,1899,5
G. Week & Co.,Falmouth,1889,5
Gabriel & Sons,EXETER,1885,5
Garland,Leith,1881,5
Garland,Leith,1887,5
Garland & Roger,Leith,1885,5
"Garland & Roger, Ltd.",Leith,1899,5
George Gillespie & Co.,Greenock,1874,5
George Jessiman,Dundee,1877,5
Gibson & Co.,Leith,1891,5
Gibson & Co.,Leith,1893,5
Gillingham Cement Co.,Rochester,1891,5
Goodwin & Romans,Gloucester,1881,5
Goole Steamship Co.,Goole,1887,5
Goole Steamship Co.,Goole,1893,5
Graham & Co.,Maryport,1883,5
Granberg,,1874,5
Granberg,Grimsby,1883,5
Graves & Co.,Waterford,1897,5
"Graves & Co., Ltd.",Waterford,1899,5
Great Eastern Railway Co.,LOWESTOFT,1881,5
Gregor Bros.,Swansea,1891,5
Gribble & Co.,London,1885,5
Groom & Son,Harwich,1885,5
Groves,Hartlepool (West),1879,5
Gulstad & Co.,,1877,5
Gulstadt & Co.,Borrowstounness,1874,5
H. Brown & Son,Hartlepool (West),1885,5
H. Denty,Bristol,1889,5
H. Denty,Bristol,1891,5
H. Erichsen & Co.,Hartlepool (West),1887,5
H. Haagensen & Co.,Hull,1881,5
H. Hay,Liverpool,1887,5
H. Hutton & Co.,Belfast,1893,5
H. Lindsay,Kirkcaldy,1883,5
H. Lindsay & Co.,Kirkcaldy,1893,5
H. P. Nilsson & Co.,Hartlepool (West),1887,5
H. P. Nilsson & Co.,Hartlepool (West),1889,5
H. Smith,Hull,1887,5
H. Smyth,London,1885,5
H. Tolputt & Co.,Folkestone,1893,5
H. Tolputt & Co.,Folkestone,1897,5
H. Tolputt & Co.,Folkestone,1899,5
H. Wilson,Goole,1889,5
H. Wilson & Co.,Tyne Ports,1883,5
"Haagensen, Watt, & Co.",Hull,1899,5
Haddon,Southampton,1881,5
Hagerup,Grimsby,1887,5
Hammond & Co.,Dover,1883,5
Hans Erichsen & Co.,,1889,5
Hardy Bros.,Tyne Ports,1875,5
Hardy Bros.,Tyne Ports,1881,5
"Hardy, Robson, & Co.",Tyne Ports,1897,5
Harrison & Co.,Cardiff,1897,5
Harrison & Singleton,,1885,5
"Harrison, Robinson, & Co.",Liverpool,1899,5
Harvey & Co.,HAYLE,1881,5
Harvey & Co.,Truro,1891,5
Harvey & Co.,Truro,1893,5
Harvey & Co.,Truro,1895,5
Hattley Hay,London,1889,5
Hay,Liverpool,1893,5
Heard & Co.,Swansea,1883,5
Heaven,Hull,1883,5
Heaven,Hull,1889,5
Heaven & Kesterton,Hull,1885,5
Henry Smith & Co.,,1897,5
Henry Smith & Co.,Hartlepool (West),1897,5
Henry Smith & Co.,Liverpool,1899,5
Henry Wolfe,Portsmouth,1881,5
Hessler & Co.,Hartlepool,1893,5
Hollis Bros. & Co.,Hull,1899,5
Holloway & Fielders,Shoreham,1881,5
Hooper,Cardiff,1892,5
Horsley,Hartlepool (West),1895,5
Horsley,Hull,1883,5
Horsley & Co.,Hartlepool (West),1887,5
Hugh Blaik & Co.,Leith,1895,5
Hughes,Chester,1883,5
Hull Timber & Saw-mill Co.,Hull,1899,5
Hunter,Glasgow,1883,5
Huntley,Sunderland,1885,5
Illingworth,Goole,1889,5
Illingworth,Goole,1891,5
Illingworth & Co.,Goole,1885,5
Ingram,Cardiff,1884,5
J. & A. Roxburgh,Greenock,1877,5
J. & G. Paton,Montrose,1899,5
J. & H. Thompson,Sunderland,1879,5
J. & J. Colman,Yarmouth,1881,5
J. & W. Jackson,Tyne Ports,1883,5
J. & W. Wilson & Co.,Sunderland,1893,5
J. & W. Wilson & Sons,Sunderland,1897,5
J. Adams,RAMSGATE,1883,5
J. Adams,RAMSGATE,1889,5
J. Adams,RAMSGATE,1895,5
J. Adams,RAMSGATE,1899,5
J. Ballintine,Londonderry,1887,5
J. Black,Newcastle upon Tyne,1879,5
J. Black,Tyne Ports,1881,5
J. Bland,Cardiff,1881,5
J. Bland,Cardiff,1893,5
